,schoolcode,white,black,hispanic,lowincome,elapass,totaltested,year,hybridper,virtualper,schoolmode,charter,countycode,districtcode,state
0,010010010260001,97.8,0.4,0.4,44.2,40.0,117,2017,0.0,0.0,0.0,0,0100il,01001001026il,il
1,010010010260001,96.7,0.0,0.0,43.9,42.9,35,2018,0.0,0.0,0.0,0,0100il,01001001026il,il
2,010010010260001,95.4,0.0,0.4,46.4,29.4,34,2019,0.0,0.0,0.0,0,0100il,01001001026il,il
3,010010010260001,96.3,0.0,0.0,36.9,22.0,41,2021,0.0,0.0,0.0,0,0100il,01001001026il,il
4,010010020260001,98.2,0.7,0.4,20.9,37.8,128,2017,0.09,0.0,0.05,0,0100il,01001002026il,il
5,010010020260001,98.6,0.0,0.0,22.4,37.0,46,2018,0.09,0.0,0.05,0,0100il,01001002026il,il
6,010010020260001,97.6,0.3,0.0,20.5,32.6,49,2019,0.09,0.0,0.05,0,0100il,01001002026il,il
7,010010020260001,95.2,0.0,0.0,22.2,26.6,45,2021,0.09,0.0,0.05,0,0100il,01001002026il,il
8,010010030260001,96.7,0.0,0.0,36.9,30.0,61,2017,0.0,0.0,0.0,0,0100il,01001003026il,il
9,010010030260001,96.3,0.0,0.0,42.0,32.6,52,2018,0.0,0.0,0.0,0,0100il,01001003026il,il
10,010010030260001,98.3,0.0,0.0,42.2,26.7,60,2019,0.0,0.0,0.0,0,0100il,01001003026il,il
11,010010030260001,96.9,0.0,0.0,39.3,26.5,49,2021,0.0,0.0,0.0,0,0100il,01001003026il,il
12,010010040260001,97.4,0.4,1.3,28.1,27.8,54,2017,0.27,0.09,0.23,0,0100il,01001004026il,il
13,010010040260001,99.0,0.0,0.0,27.3,35.7,56,2018,0.27,0.09,0.23,0,0100il,01001004026il,il
14,010010040260001,98.5,0.0,1.0,34.0,20.4,49,2019,0.27,0.09,0.23,0,0100il,01001004026il,il
15,010010040260001,96.6,0.0,0.0,34.7,20.5,39,2021,0.27,0.09,0.23,0,0100il,01001004026il,il
16,010011720220003,84.6,7.5,2.6,45.4,34.0,416,2017,1.0,0.0,0.5,0,0100il,01001172022il,il
17,010011720220003,82.3,7.8,2.6,50.3,29.7,407,2018,1.0,0.0,0.5,0,0100il,01001172022il,il
18,010011720220003,81.7,6.7,3.5,48.7,30.3,406,2019,1.0,0.0,0.5,0,0100il,01001172022il,il
19,010011720220003,79.9,6.9,3.3,46.1,28.5,425,2021,1.0,0.0,0.5,0,0100il,01001172022il,il
20,010050010260001,96.2,0.0,1.1,37.0,40.0,55,2017,0.73,0.09,0.45,0,0100il,01005001026il,il
21,010050010260001,95.9,0.0,0.0,42.6,44.2,43,2018,0.73,0.09,0.45,0,0100il,01005001026il,il
22,010050010260001,96.0,0.5,1.5,38.8,29.7,37,2019,0.73,0.09,0.45,0,0100il,01005001026il,il
23,010050010260001,96.8,0.0,0.0,35.6,34.6,52,2021,0.73,0.09,0.45,0,0100il,01005001026il,il
24,010090150260007,38.4,8.9,50.2,78.2,19.6,529,2017,0.82,0.09,0.5,0,0100il,01009015026il,il
