,state,bh_level,2015,2016,2017,2018,2019,2021
0,ca,high,0.06973898858075041,0.0690302066772655,11.257867132867133,11.780829015544041,11.613636363636363,10.438009787928221
1,ca,low,0.016733067729083666,0.01334763948497854,5.8006153846153845,6.038613861386139,6.392281879194631,5.851360544217687
2,ca,mid,0.031460234680573664,0.02812743823146944,7.6012261580381475,7.44392523364486,8.21380243572395,7.285773480662983
3,il,high,,,6.979069767441861,6.725287356321839,10.468390804597702,4.9737430167597765
4,il,low,,,1.2480582524271846,1.2907090464547677,3.45935960591133,3.11575
5,il,mid,,,1.4418032786885246,1.4666666666666668,4.079365079365079,2.734645669291339
6,nyc,high,,10.124661246612465,10.232876712328768,9.977961432506888,10.27371273712737,6.826086956521739
7,nyc,low,,3.970790378006873,3.7954939341421143,3.840909090909091,4.001760563380282,3.523465703971119
8,nyc,mid,,6.08252427184466,5.8930232558139535,5.711711711711712,5.759090909090909,3.706382978723404
9,tx,high,,,0.008064516129032258,0.012307692307692308,0.014925373134328358,0.08292682926829269
10,tx,low,,,0.0,0.0,0.0,0.052554744525547446
11,tx,mid,,,0.0,0.0,0.0,0.3860606060606061
