,state,b_level,2015,2016,2017,2018,2019,2021
0,ca,high,42.0,49.0,49.67,37.8,39.754999999999995,52.22
1,ca,low,54.09472551130248,57.6239224137931,57.92704935622318,54.125422459893045,55.7055209452202,56.71766844919786
2,ca,mid,37.370370370370374,37.82142857142857,41.02833333333333,37.544285714285714,37.158750000000005,46.81142857142858
3,il,high,,,11.311290322580644,8.71875,7.481967213114753,5.517741935483871
4,il,low,,,36.73205128205128,34.953860294117646,34.225688073394494,28.295429616087752
5,il,mid,,,25.755072463768116,23.3768115942029,20.743661971830985,16.933823529411764
6,nyc,high,,,90.0,,,82.0
7,nyc,low,,,89.89224137931035,85.36244541484716,89.17826086956522,79.89912280701755
8,nyc,mid,,,79.71428571428571,71.9090909090909,77.9,83.81818181818181
9,tx,high,19.324117647058824,17.014666666666667,23.223846153846157,33.25416666666667,37.78583333333333,25.69818181818182
10,tx,low,46.41294237288135,45.83783728813559,45.57261402314499,46.50288843258043,51.96002057613169,50.97243188010899
11,tx,mid,31.464166666666667,30.854793814432988,31.0190099009901,31.769763033175355,34.20654205607477,35.41409756097561
