,state,bh_level,2015,2016,2017,2018,2019,2021
0,ca,high,42.231404958677686,46.48913043478261,46.88026178010471,44.24036939313984,45.335190839694654,47.481848101265825
1,ca,low,68.56470588235294,74.21794871794872,74.73834394904459,69.41529411764706,70.70370860927153,71.048698630137
2,ca,mid,57.43127962085308,59.870069605568446,60.78930288461538,56.635508274231675,59.02995133819952,60.073961352657
3,il,high,,,15.577852348993288,13.607096774193549,12.858169934640523,8.963157894736844
4,il,low,,,38.6014888337469,36.741379310344826,35.827654320987655,29.275247524752476
5,il,mid,,,37.044,35.25299145299146,33.9775,30.86967213114754
6,nyc,high,,,70.7987012987013,64.38709677419355,72.34415584415585,54.13235294117647
7,nyc,low,,,91.63218390804597,87.08543689320388,90.60834990059642,81.12745098039215
8,nyc,mid,,,84.67153284671532,80.84615384615384,86.28846153846153,71.31137724550898
9,tx,high,32.32796445880452,33.045890625,33.39622727272727,35.55161004431314,39.67186147186147,38.00179970972424
10,tx,low,56.49223564954683,54.37396774193549,54.84855704697987,55.44397849462366,61.40911646586345,61.937573529411765
11,tx,mid,49.20814713896458,48.83727520435967,48.38504132231405,48.77181318681318,54.91626684636119,54.41195020746888
