,state,income_level,2015,2016,2017,2018,2019,2021
0,ca,high,76.77397260273973,78.05839416058394,79.73425531914894,76.9885576923077,78.44314814814815,79.92024193548387
1,ca,low,40.967213114754095,46.14733542319749,45.74797583081571,41.977329545454545,42.89303977272727,45.03902298850575
2,ca,mid,54.547430830039524,58.21956087824351,59.04587628865979,57.18696606786427,58.87917505030181,58.72698969072165
3,il,high,,,50.674814814814816,51.36615384615385,50.11612903225806,44.545669291338584
4,il,low,,,14.859154929577464,12.139716312056738,11.680147058823529,7.480740740740741
5,il,mid,,,33.9575,31.51871921182266,30.645803357314147,24.8289156626506
6,nyc,high,,,95.37837837837837,93.09375,95.57575757575758,81.15517241379311
7,nyc,low,,,75.71428571428571,64.6,63.2,54.6
8,nyc,mid,,,89.0,83.92610837438424,88.21782178217822,81.20930232558139
9,tx,high,61.54527659574468,60.7394537815126,61.388288288288294,58.781168831168834,64.49077551020407,62.27
10,tx,low,27.2412,29.591015873015873,30.591615853658535,32.66003039513678,33.50310043668122,30.8597311827957
11,tx,mid,45.42490861618799,44.27471264367816,43.96090828924162,45.124190391459074,49.63544628099174,48.6445744680851
