,schoolcode,lowincome,black,hispanic,white,countycode,districtcode,totalenrolled,dropout,year,hybridper,virtualper,schoolmode,charter,state
0,1100170112607ca,74.3,37.22,52.61,4.47,1ca,1ca10017ca,81,4.9,2017,0.0,0.0,0.0,1,ca
1,1100170112607ca,74.6,33.41,55.69,2.66,1ca,1ca10017ca,87,4.6,2018,0.0,0.0,0.0,1,ca
2,1100170112607ca,78.6,32.73,56.36,3.64,1ca,1ca10017ca,85,3.5,2019,0.0,0.0,0.0,1,ca
3,1100170112607ca,78.1,35.54,49.51,4.17,1ca,1ca10017ca,94,9.6,2021,0.0,1.0,1.0,1,ca
4,1100170130419ca,79.9,39.26,45.04,5.37,1ca,1ca10017ca,171,36.8,2017,0.0,0.0,0.0,0,ca
5,1100170130419ca,81.8,35.06,48.85,5.75,1ca,1ca10017ca,95,38.9,2018,0.0,0.0,0.0,0,ca
6,1100170130419ca,84.5,31.58,56.39,6.02,1ca,1ca10017ca,80,46.3,2019,0.0,0.0,0.0,0,ca
7,1100170130419ca,72.0,34.29,56.19,3.81,1ca,1ca10017ca,63,57.1,2021,0.0,1.0,1.0,0,ca
8,1316170131763ca,92.8,8.68,50.0,22.37,1ca,1ca31617ca,47,0.0,2017,0.0,0.0,0.0,0,ca
9,1316170131763ca,99.7,7.73,50.93,23.2,1ca,1ca31617ca,38,2.6,2018,0.0,0.0,0.0,0,ca
10,1316170131763ca,100.0,6.99,51.88,22.58,1ca,1ca31617ca,47,57.4,2019,0.0,0.0,0.0,0,ca
11,1316170131763ca,99.2,5.35,55.35,20.13,1ca,1ca31617ca,38,2.6,2021,0.0,1.0,1.0,0,ca
12,1611190106401ca,21.2,3.83,9.29,16.39,1ca,1ca61119ca,46,0.0,2017,0.0,0.0,0.0,0,ca
13,1611190106401ca,30.4,4.28,8.02,20.32,1ca,1ca61119ca,44,0.0,2018,0.0,0.0,0.0,0,ca
14,1611190106401ca,28.3,4.69,9.38,22.92,1ca,1ca61119ca,43,0.0,2019,0.0,0.0,0.0,0,ca
15,1611190106401ca,38.0,2.94,10.59,14.71,1ca,1ca61119ca,43,0.0,2021,0.36,0.64,0.82,0,ca
16,1611190119222ca,31.3,18.56,17.99,33.52,1ca,1ca61119ca,20,20.0,2017,0.0,0.0,0.0,1,ca
17,1611190119222ca,30.5,16.82,19.53,29.84,1ca,1ca61119ca,30,6.7,2018,0.0,0.0,0.0,1,ca
18,1611190119222ca,34.9,15.89,20.73,30.05,1ca,1ca61119ca,21,0.0,2019,0.0,0.0,0.0,1,ca
19,1611190119222ca,32.9,14.94,25.81,28.01,1ca,1ca61119ca,47,0.0,2021,0.0,1.0,1.0,1,ca
20,1611190130229ca,18.7,6.22,11.25,31.13,1ca,1ca61119ca,420,1.2,2017,0.0,0.0,0.0,0,ca
21,1611190130229ca,22.6,5.24,11.99,30.35,1ca,1ca61119ca,445,0.9,2018,0.0,0.0,0.0,0,ca
22,1611190130229ca,20.3,5.04,12.62,30.5,1ca,1ca61119ca,426,0.9,2019,0.0,0.0,0.0,0,ca
23,1611190130229ca,19.6,4.25,15.43,32.19,1ca,1ca61119ca,394,2.3,2021,0.36,0.64,0.82,0,ca
24,1611190130609ca,23.9,7.22,17.11,39.84,1ca,1ca61119ca,51,3.9,2017,0.0,0.0,0.0,1,ca
25,1611190130609ca,31.8,8.7,15.49,38.59,1ca,1ca61119ca,38,0.0,2018,0.0,0.0,0.0,1,ca
26,1611190130609ca,26.1,7.69,13.39,35.04,1ca,1ca61119ca,35,2.9,2019,0.0,0.0,0.0,1,ca
27,1611190130609ca,23.6,7.82,16.48,26.82,1ca,1ca61119ca,55,1.8,2021,0.0,1.0,1.0,1,ca
28,1611190130625ca,97.2,5.85,92.98,0.58,1ca,1ca61119ca,37,18.9,2017,0.0,0.0,0.0,1,ca
29,1611190130625ca,98.8,6.01,72.13,1.64,1ca,1ca61119ca,35,22.9,2018,0.0,0.0,0.0,1,ca
30,1611190130625ca,94.4,5.94,83.17,0.99,1ca,1ca61119ca,65,30.8,2019,0.0,0.0,0.0,1,ca
31,1611190130625ca,93.1,4.79,92.81,0.6,1ca,1ca61119ca,44,31.8,2021,0.0,1.0,1.0,1,ca
32,1611190132142ca,40.5,15.64,16.38,21.59,1ca,1ca61119ca,242,3.7,2017,0.0,0.0,0.0,0,ca
33,1611190132142ca,43.6,13.77,15.58,24.38,1ca,1ca61119ca,257,3.9,2018,0.0,0.0,0.0,0,ca
34,1611190132142ca,39.0,12.21,16.18,28.31,1ca,1ca61119ca,230,5.2,2019,0.0,0.0,0.0,0,ca
35,1611190132142ca,33.7,11.18,17.68,27.19,1ca,1ca61119ca,233,4.7,2021,0.36,0.64,0.82,0,ca
36,1611270130450ca,17.8,4.3,17.1,36.68,1ca,1ca61127ca,302,4.0,2017,0.0,0.0,0.0,0,ca
37,1611270130450ca,20.1,3.63,16.56,35.96,1ca,1ca61127ca,282,2.8,2018,0.0,0.0,0.0,0,ca
38,1611270130450ca,18.1,3.17,16.52,35.7,1ca,1ca61127ca,293,1.7,2019,0.0,0.0,0.0,0,ca
39,1611270130450ca,15.3,3.05,16.24,34.01,1ca,1ca61127ca,284,3.5,2021,0.0,1.0,1.0,0,ca
40,1611430131177ca,27.5,17.0,22.03,39.96,1ca,1ca61143ca,829,8.6,2017,0.0,0.0,0.0,0,ca
41,1611430131177ca,28.2,14.85,23.45,40.33,1ca,1ca61143ca,785,9.0,2018,0.0,0.0,0.0,0,ca
42,1611430131177ca,26.1,13.63,22.13,41.98,1ca,1ca61143ca,747,9.6,2019,0.0,0.0,0.0,0,ca
43,1611430131177ca,24.2,12.31,21.28,42.34,1ca,1ca61143ca,861,8.1,2021,0.0,1.0,1.0,0,ca
44,1611430134924ca,63.5,66.13,19.35,1.61,1ca,1ca61143ca,42,45.2,2017,0.0,0.0,0.0,0,ca
45,1611430134924ca,75.6,76.47,11.76,1.96,1ca,1ca61143ca,44,43.2,2018,0.0,0.0,0.0,0,ca
46,1611430134924ca,80.0,59.57,19.15,6.38,1ca,1ca61143ca,36,16.7,2019,0.0,0.0,0.0,0,ca
47,1611430134924ca,73.3,34.38,46.88,9.38,1ca,1ca61143ca,35,14.3,2021,0.0,1.0,1.0,0,ca
48,1611500132225ca,21.7,7.12,23.22,28.66,1ca,1ca61150ca,708,1.0,2017,0.0,0.0,0.0,0,ca
49,1611500132225ca,23.8,6.51,23.48,27.88,1ca,1ca61150ca,707,1.0,2018,0.0,0.0,0.0,0,ca
50,1611500132225ca,22.0,5.86,23.71,27.66,1ca,1ca61150ca,653,2.0,2019,0.0,0.0,0.0,0,ca
51,1611500132225ca,19.5,5.34,22.38,27.6,1ca,1ca61150ca,672,2.2,2021,0.0,1.0,1.0,0,ca
52,1611680132746ca,69.5,53.11,18.64,9.6,1ca,1ca61168ca,37,5.4,2017,0.0,0.0,0.0,0,ca
53,1611680132746ca,74.3,42.46,25.7,7.82,1ca,1ca61168ca,37,2.7,2018,0.0,0.0,0.0,0,ca
54,1611680132746ca,81.5,44.98,26.32,7.66,1ca,1ca61168ca,40,0.0,2019,0.0,0.0,0.0,0,ca
55,1611680132746ca,83.5,43.14,29.9,6.37,1ca,1ca61168ca,40,5.0,2021,0.0,1.0,1.0,0,ca
56,1611760130062ca,16.2,3.91,9.91,14.23,1ca,1ca61176ca,505,2.0,2017,0.0,0.0,0.0,0,ca
57,1611760130062ca,18.9,3.3,9.28,13.37,1ca,1ca61176ca,483,0.8,2018,0.0,0.0,0.0,0,ca
58,1611760130062ca,19.9,3.1,8.17,13.32,1ca,1ca61176ca,540,3.0,2019,0.0,0.0,0.0,0,ca
59,1611760130062ca,17.0,2.24,9.04,11.16,1ca,1ca61176ca,574,3.3,2021,0.0,1.0,1.0,0,ca
60,1611760130435ca,30.0,9.68,32.26,35.48,1ca,1ca61176ca,16,43.8,2017,0.0,0.0,0.0,0,ca
61,1611760130435ca,39.1,0.0,32.0,36.0,1ca,1ca61176ca,15,13.3,2018,0.0,0.0,0.0,0,ca
62,1611760130435ca,56.7,8.82,17.65,47.06,1ca,1ca61176ca,25,16.0,2019,0.0,0.0,0.0,0,ca
63,1611760130435ca,47.8,0.0,16.0,24.0,1ca,1ca61176ca,19,26.3,2021,0.0,1.0,1.0,0,ca
64,1611760130534ca,16.4,2.95,24.48,27.43,1ca,1ca61176ca,49,16.3,2017,0.0,0.0,0.0,1,ca
65,1611760130534ca,41.3,2.59,28.24,19.88,1ca,1ca61176ca,74,5.4,2018,0.0,0.0,0.0,1,ca
66,1611760130534ca,32.2,2.45,23.91,22.28,1ca,1ca61176ca,70,8.6,2019,0.0,0.0,0.0,1,ca
67,1611760130534ca,37.3,3.46,20.0,21.98,1ca,1ca61176ca,79,0.0,2021,0.0,1.0,1.0,1,ca
68,1611760134270ca,11.8,1.69,9.96,14.05,1ca,1ca61176ca,497,4.0,2017,0.0,0.0,0.0,0,ca
69,1611760134270ca,15.1,1.61,9.41,12.16,1ca,1ca61176ca,600,1.8,2018,0.0,0.0,0.0,0,ca
70,1611760134270ca,16.5,1.31,8.98,11.12,1ca,1ca61176ca,485,2.9,2019,0.0,0.0,0.0,0,ca
71,1611760134270ca,14.8,0.84,9.78,8.35,1ca,1ca61176ca,548,4.4,2021,0.0,1.0,1.0,0,ca
72,1611760134452ca,37.6,4.84,33.57,22.24,1ca,1ca61176ca,352,2.0,2017,0.0,0.0,0.0,0,ca
73,1611760134452ca,38.3,4.57,35.97,21.03,1ca,1ca61176ca,377,2.4,2018,0.0,0.0,0.0,0,ca
74,1611760134452ca,43.4,4.64,33.75,19.35,1ca,1ca61176ca,311,5.5,2019,0.0,0.0,0.0,0,ca
75,1611760134452ca,41.9,3.8,33.88,17.23,1ca,1ca61176ca,350,7.7,2021,0.0,1.0,1.0,0,ca
76,1611760135244ca,3.5,0.35,1.6,4.94,1ca,1ca61176ca,483,1.2,2017,0.0,0.0,0.0,0,ca
77,1611760135244ca,5.7,0.25,1.49,4.62,1ca,1ca61176ca,525,0.2,2018,0.0,0.0,0.0,0,ca
78,1611760135244ca,6.7,0.29,1.66,4.74,1ca,1ca61176ca,493,1.0,2019,0.0,0.0,0.0,0,ca
79,1611760135244ca,7.2,0.29,2.52,4.27,1ca,1ca61176ca,485,2.1,2021,0.0,1.0,1.0,0,ca
80,1611760138693ca,22.1,4.06,22.67,24.72,1ca,1ca61176ca,409,3.2,2017,0.0,0.0,0.0,0,ca
81,1611760138693ca,26.5,3.87,22.99,21.65,1ca,1ca61176ca,464,1.7,2018,0.0,0.0,0.0,0,ca
82,1611760138693ca,29.5,3.28,23.31,19.81,1ca,1ca61176ca,440,5.0,2019,0.0,0.0,0.0,0,ca
83,1611760138693ca,27.9,3.51,22.4,17.69,1ca,1ca61176ca,443,5.0,2021,0.0,1.0,1.0,0,ca
84,1611920108670ca,59.2,4.33,70.76,2.25,1ca,1ca61192ca,123,0.0,2017,0.0,0.0,0.0,1,ca
85,1611920108670ca,61.4,3.37,68.8,1.85,1ca,1ca61192ca,149,1.3,2018,0.0,0.0,0.0,1,ca
86,1611920108670ca,62.2,3.36,67.39,2.18,1ca,1ca61192ca,140,1.4,2019,0.0,0.0,0.0,1,ca
87,1611920108670ca,55.5,2.44,65.15,2.61,1ca,1ca61192ca,151,0.7,2021,0.0,1.0,1.0,1,ca
88,1611920127944ca,48.9,6.38,55.32,22.34,1ca,1ca61192ca,37,0.0,2017,0.0,0.0,0.0,1,ca
89,1611920127944ca,59.4,7.58,53.54,20.2,1ca,1ca61192ca,28,0.0,2018,0.0,0.0,0.0,1,ca
90,1611920127944ca,59.6,3.67,61.93,17.43,1ca,1ca61192ca,52,0.0,2019,0.0,0.0,0.0,1,ca
91,1611920127944ca,59.0,4.07,67.87,11.31,1ca,1ca61192ca,42,0.0,2021,0.0,1.0,1.0,1,ca
92,1611920133009ca,60.7,12.5,61.0,14.0,1ca,1ca61192ca,244,37.7,2017,0.0,0.0,0.0,0,ca
93,1611920133009ca,80.0,13.9,69.52,8.02,1ca,1ca61192ca,208,26.4,2018,0.0,0.0,0.0,0,ca
94,1611920133009ca,69.9,11.8,69.57,8.07,1ca,1ca61192ca,183,21.3,2019,0.0,0.0,0.0,0,ca
95,1611920133009ca,61.9,11.27,66.2,5.63,1ca,1ca61192ca,193,11.9,2021,0.0,1.0,1.0,0,ca
96,1611920133629ca,65.7,15.1,61.74,7.49,1ca,1ca61192ca,330,9.1,2017,0.0,0.0,0.0,0,ca
97,1611920133629ca,70.9,14.25,63.04,7.53,1ca,1ca61192ca,355,10.1,2018,0.0,0.0,0.0,0,ca
98,1611920133629ca,68.6,14.84,62.31,7.33,1ca,1ca61192ca,330,6.1,2019,0.0,0.0,0.0,0,ca
99,1611920133629ca,55.9,12.85,65.62,5.72,1ca,1ca61192ca,371,7.3,2021,0.0,1.0,1.0,0,ca
100,1611920135319ca,61.4,8.07,54.31,5.38,1ca,1ca61192ca,461,6.7,2017,0.0,0.0,0.0,0,ca
101,1611920135319ca,65.4,7.53,54.7,4.85,1ca,1ca61192ca,459,5.0,2018,0.0,0.0,0.0,0,ca
102,1611920135319ca,65.4,8.24,54.57,3.69,1ca,1ca61192ca,445,4.3,2019,0.0,0.0,0.0,0,ca
