,state,b_level,2015,2016,2017,2018,2019,2021
0,ca,high,13.5,6.0,6.300000000000001,9.45,5.84,17.17
1,ca,low,27.703455964325528,30.268590455049946,29.637749445676274,29.19358175750834,29.972846068660022,30.801767955801104
2,ca,mid,11.586206896551724,15.76923076923077,15.944583333333334,12.9525,11.57125,19.13142857142857
3,il,high,,,15.904761904761905,6.504838709677419,6.538709677419354,3.557377049180328
4,il,low,,,30.911742424242423,30.509255898366604,29.724954792043402,23.820689655172416
5,il,mid,,,26.593457943925234,20.10615384615385,18.141269841269843,12.121212121212121
6,nyc,high,,,52.54545454545455,47.421052631578945,49.5,11.65
7,nyc,low,,,85.74269005847954,80.47230320699708,81.33624454148472,62.645833333333336
8,nyc,mid,,,58.29133858267716,52.9609375,54.785714285714285,28.35483870967742
9,tx,high,24.131999999999998,30.213043478260868,33.47291666666666,38.28294117647059,55.64785714285715,8.097857142857142
10,tx,low,56.22724865535788,60.61229183841715,63.339522633744856,67.1478305785124,70.37444993819531,50.43453833470734
11,tx,mid,35.23345394736842,39.26438356164384,42.76080139372822,48.90855263157895,50.24036666666667,30.283820598006645
