,state,bh_level,2015,2016,2017,2018,2019,2021
0,ca,high,15.508620689655173,17.931818181818183,17.561780821917807,17.278980716253443,18.25138666666667,18.721296296296295
1,ca,low,45.17365269461078,51.49677419354839,49.32916129032258,48.82417218543046,49.39583892617449,49.027655172413795
2,ca,mid,29.714285714285715,31.81472684085511,32.04031862745098,31.33437198067633,32.53658415841584,34.879111111111115
3,il,high,,,12.369127516778523,13.072903225806451,12.628104575163398,6.621052631578947
4,il,low,,,34.36079404466501,31.281773399014778,30.251358024691356,24.490346534653465
5,il,mid,,,33.156,32.42820512820513,31.685833333333335,26.571311475409836
6,nyc,high,,,55.158940397350996,50.15483870967742,52.59872611464968,24.553846153846155
7,nyc,low,,,89.35375494071147,84.58835341365462,84.9329268292683,68.04562737642586
8,nyc,mid,,,77.64204545454545,72.13888888888889,74.59782608695652,50.79661016949152
9,tx,high,44.073074626865676,48.67069539666993,52.74825837320574,58.39016346153846,63.52468306527909,32.95561065197429
10,tx,low,68.452154340836,72.74327361563519,74.3117717206133,76.04073529411765,77.71889546351086,69.34182555780933
11,tx,mid,54.061211849192105,58.63324593128391,61.53994589720469,65.62215211754538,68.05514018691588,53.070586712683344
