,state,h_level,2015,2016,2017,2018,2019,2021
0,ca,high,15.84108527131783,18.39163498098859,17.94788104089219,17.729528985507248,19.362912280701757,18.43491525423729
1,ca,low,43.60091743119266,47.49753694581281,47.34685279187817,47.09172972972973,47.81491712707182,48.926460674157305
2,ca,mid,25.698237885462554,28.551724137931036,28.05885775862069,27.848336886993604,28.480538793103445,31.108796498905907
3,il,high,,,16.0025,18.2390243902439,17.309302325581395,8.549999999999999
4,il,low,,,30.736311787072243,28.318582375478925,27.246332046332046,22.046653543307087
5,il,mid,,,27.314414414414415,26.5,27.142241379310345,20.6368
6,nyc,high,,,59.523809523809526,51.59090909090909,57.31578947368421,27.195652173913043
7,nyc,low,,,85.84603174603174,80.85575364667747,81.816091954023,63.68659127625202
8,nyc,mid,,,65.24175824175825,61.13917525773196,62.71219512195122,43.464285714285715
9,tx,high,48.40831546707504,53.499418960244654,57.58763503649635,63.73635294117647,69.0798833819242,35.76005738880918
10,tx,low,63.517836322869954,68.13015909090909,69.3435294117647,72.73964735516373,74.89625984251968,64.36042817679558
11,tx,mid,49.18589464882943,53.24139188069594,57.05645952575634,60.710939226519336,63.565522041763344,45.5009696969697
