,state,income_level,2015,2016,2017,2018,2019,2021
0,ca,high,53.539568345323744,57.954198473282446,56.79102189781022,59.451844660194176,60.78292452830188,62.699915966386556
1,ca,low,15.527586206896551,18.13907284768212,17.149301587301586,16.414082840236688,17.023392857142856,17.363855421686747
2,ca,mid,26.589178356713425,29.53131313131313,29.29857142857143,30.689219712525666,31.247283950617284,31.62601677148847
3,il,high,,,46.51194968553459,41.893085106382976,41.50411764705882,32.72548076923077
4,il,low,,,11.815,12.311267605633804,11.461267605633802,5.778832116788322
5,il,mid,,,28.53280423280423,25.565229885057473,25.418032786885245,19.650450450450453
6,nyc,high,,,94.63559322033899,92.06,92.90322580645162,74.77941176470588
7,nyc,low,,,58.03030303030303,53.119565217391305,54.7103825136612,32.03508771929825
8,nyc,mid,,,84.48181818181818,79.97085610200364,81.00359066427289,59.480349344978166
9,tx,high,78.58780089153045,81.40501492537314,83.27613268608414,83.633,83.24320373250389,65.83868975903614
10,tx,low,36.648707482993196,40.68284722222223,45.86063876651982,54.24618852459016,55.921603498542275,31.492261146496816
11,tx,mid,47.96754763368162,53.13555216595485,56.743774715398445,61.04847519902021,64.92505982905983,44.23002268859898
