,state,h_level,Year,Net Change from Prev Year,Net Change from Avg Year
0,ca,high,2017,,0.34988789079651283
12,ca,high,2018,0.018913379168353117,0.36880126996486595
24,ca,high,2019,-0.2341220128434589,0.13467925712140705
36,ca,high,2021,-0.9880476750041982,-0.8533684178827912
1,ca,low,2017,,-0.6360867481898795
13,ca,low,2018,1.033990673755775,0.3979039255658954
25,ca,low,2019,0.2912442449091772,0.6891481704750726
37,ca,low,2021,-1.140113518326161,-0.45096534785108844
2,ca,mid,2017,,-0.07331618679016927
14,ca,mid,2018,-0.06219774537180811,-0.13551393216197738
26,ca,mid,2019,0.6944970268463493,0.5589830946843719
38,ca,mid,2021,-0.9091360704165954,-0.3501529757322235
3,il,high,2017,,0.16984203739522918
15,il,high,2018,-0.6265151515151519,-0.45667311411992273
27,il,high,2019,2.6418439716312054,2.1851708575112827
39,il,high,2021,-4.083510638297872,-1.8983397807865892
4,il,low,2017,,-0.9152274007618169
16,il,low,2018,0.03377349977440236,-0.8814539009874145
28,il,low,2019,2.4356446698779597,1.5541907688905452
40,il,low,2021,-1.311700236031859,0.24249053285868616
5,il,mid,2017,,-0.9417970440123917
17,il,mid,2018,-0.08386882829771558,-1.0256658723101073
29,il,mid,2019,3.464809669352598,2.4391437970424907
41,il,mid,2021,-2.910824677762483,-0.47168088071999215
6,nyc,high,2017,,1.5767186950662122
18,nyc,high,2018,-0.7418478260869552,0.834870868979257
30,nyc,high,2019,-0.33850931677018714,0.49636155220906986
42,nyc,high,2021,-3.4043126684636125,-2.9079511162545426
7,nyc,low,2017,,0.21216497073235896
19,nyc,low,2018,-0.0007822924215847848,0.21138267831077417
31,nyc,low,2019,0.049459730422189985,0.26084240873296416
43,nyc,low,2021,-0.9452324665090615,-0.6843900577760973
8,nyc,mid,2017,,0.7346613532371791
20,nyc,mid,2018,-0.2118397114935675,0.5228216417436116
32,nyc,mid,2019,0.4915592224437919,1.0143808641874035
44,nyc,mid,2021,-3.286244723355593,-2.2718638591681897
9,tx,high,2017,,-0.044066942526258895
21,tx,high,2018,-0.00023310023310020057,-0.0443000427593591
33,tx,high,2019,0.014699231117141599,-0.0296008116422175
45,tx,high,2021,0.147568608570053,0.11796779692783549
10,tx,low,2017,,-0.01633986928104575
22,tx,low,2018,0.0,-0.01633986928104575
34,tx,low,2019,0.0,-0.01633986928104575
46,tx,low,2021,0.065359477124183,0.04901960784313725
11,tx,mid,2017,,-0.0532258064516129
23,tx,mid,2018,0.0,-0.0532258064516129
35,tx,mid,2019,0.0,-0.0532258064516129
47,tx,mid,2021,0.2129032258064516,0.1596774193548387
