,state,income_level,Year,Net Change from Prev Year,Net Change from Avg Year
0,ca,high,2017,,-0.5929613437469055
12,ca,high,2018,0.6981693711967543,0.1052080274498488
24,ca,high,2019,0.7163292803154784,0.8215373077653272
36,ca,high,2021,-1.1553212992335977,-0.33378399146827054
1,ca,low,2017,,0.02863751143412685
13,ca,low,2018,0.35144302407654315,0.38008053551067
25,ca,low,2019,0.30908730326620315,0.6891678387768732
37,ca,low,2021,-1.7870537244985414,-1.0978858857216682
2,ca,mid,2017,,0.21221792453890753
14,ca,mid,2018,-0.5197155239594098,-0.30749759942050225
26,ca,mid,2019,0.4683128162505037,0.16081521683000144
38,ca,mid,2021,-0.22635075877840638,-0.06553554194840494
3,il,high,2017,,-0.5767654538448971
15,il,high,2018,-0.040698960406989615,-0.6174644142518867
27,il,high,2019,1.365945165945166,0.7484807516932794
39,il,high,2021,-0.30273163528977487,0.44574911640350456
4,il,low,2017,,-0.4169626790954526
16,il,low,2018,-0.1930083794702977,-0.6099710585657503
28,il,low,2019,3.875667226759407,3.2656961681936565
40,il,low,2021,-5.504458598726114,-2.238762430532457
5,il,mid,2017,,-1.1445501562390494
17,il,mid,2018,0.055325984139543705,-1.0892241720995057
29,il,mid,2019,2.6179655319755017,1.5287413598759962
41,il,mid,2021,-0.823708391413438,0.7050329684625583
6,nyc,high,2017,,0.161275405343686
18,nyc,high,2018,-0.20076882088756975,-0.03949341554388375
30,nyc,high,2019,-0.08609271523178796,-0.1255861307756717
42,nyc,high,2021,0.1293902717515415,0.0038041409758697853
7,nyc,low,2017,,0.7141956691184976
19,nyc,low,2018,-0.09047410329461592,0.6237215658238817
31,nyc,low,2019,0.7476733143399805,1.3713948801638622
43,nyc,low,2021,-4.080706995270102,-2.70931211510624
8,nyc,mid,2017,,0.6914980289351291
20,nyc,mid,2018,-0.6966762314681967,-0.005178202533067555
32,nyc,mid,2019,0.09215217187353364,0.08697396934046608
44,nyc,mid,2021,-0.8602677650829946,-0.7732937957425285
9,tx,high,2017,,-0.00595238095238095
21,tx,high,2018,0.0,-0.00595238095238095
33,tx,high,2019,0.0,-0.00595238095238095
45,tx,high,2021,0.0238095238095238,0.01785714285714285
10,tx,low,2017,,-0.02332816676775165
22,tx,low,2018,-0.0009266123054114013,-0.024254779073163056
34,tx,low,2019,0.0171451355661882,-0.007109643506974853
46,tx,low,2021,0.0618022328548644,0.05469258934788955
11,tx,mid,2017,,-0.045634920634920625
23,tx,mid,2018,0.0,-0.045634920634920625
35,tx,mid,2019,0.0,-0.045634920634920625
47,tx,mid,2021,0.1825396825396825,0.13690476190476186
