,state,charter,Year,Net Change from Prev Year,Net Change from Avg Year
0,ca,0,2017,,-0.0024943735933984357
7,ca,0,2018,0.048912228057013785,0.04641785446361535
14,ca,0,2019,0.2939234808702178,0.34034133533383315
21,ca,0,2021,-0.7246061515378841,-0.38426481620405095
1,ca,1,2017,,-0.5549050632911392
8,ca,1,2018,0.8351265822784804,0.28022151898734116
15,ca,1,2019,0.7104430379746862,0.9906645569620274
22,ca,1,2021,-1.706645569620255,-0.7159810126582276
2,il,0,2017,,-1.1407915360501568
9,il,0,2018,0.010501567398119471,-1.1302899686520373
16,il,0,2019,2.863793103448276,1.7335031347962384
23,il,0,2021,-1.195924764890282,0.5375783699059564
3,il,1,2017,,1.7203571428571447
10,il,1,2018,-0.31285714285714405,1.4075000000000006
17,il,1,2019,0.5614285714285714,1.968928571428572
24,il,1,2021,-7.065714285714288,-5.096785714285716
4,nyc,0,2017,,0.37136130136986356
11,nyc,0,2018,-0.06078767123287676,0.3105736301369868
18,nyc,0,2019,0.21746575342465757,0.5280393835616444
25,nyc,0,2021,-1.7380136986301373,-1.209974315068493
5,tx,0,2017,,-0.03442622950819672
12,tx,0,2018,0.0,-0.03442622950819672
19,tx,0,2019,0.0027027027027027,-0.03172352680549403
26,tx,0,2021,0.1322995126273815,0.10057598582188747
6,tx,1,2017,,
13,tx,1,2018,,
20,tx,1,2019,,
27,tx,1,2021,,0.0
