,state,b_level,Year,Net Change from Prev Year,Net Change from Avg Year
0,ca,high,2015,,-3.0741666666666774
9,ca,high,2016,7.0,3.9258333333333226
18,ca,high,2017,0.6700000000000017,4.595833333333324
27,ca,high,2018,-11.870000000000005,-7.27416666666668
36,ca,high,2019,1.9550000000000054,-5.319166666666675
45,ca,high,2021,12.464999999999996,7.1458333333333215
1,ca,low,2015,,-1.9376593446358328
10,ca,low,2016,3.529196902490625,1.5915375578547923
19,ca,low,2017,0.303126942430076,1.8946645002848683
28,ca,low,2018,-3.8016268963301343,-1.906962396045266
37,ca,low,2019,1.5800984853271558,-0.32686391071811016
46,ca,low,2021,1.0121475039776584,0.6852835932595482
2,ca,mid,2015,,-2.252062389770728
11,ca,mid,2016,0.4510582010582027,-1.8010041887125254
20,ca,mid,2017,3.2069047619047595,1.405900573192234
29,ca,mid,2018,-3.4840476190476153,-2.0781470458553812
38,ca,mid,2019,-0.38553571428570876,-2.46368276014109
47,ca,mid,2021,9.652678571428574,7.188995811287484
3,il,high,2015,,
12,il,high,2016,,
21,il,high,2017,,3.0538529547858264
30,il,high,2018,-2.5925403225806445,0.4613126322051819
39,il,high,2019,-1.2367827868852466,-0.7754701546800646
48,il,high,2021,-1.9642252776308826,-2.7396954323109473
4,il,low,2015,,
13,il,low,2016,,
22,il,low,2017,,3.1802939656384837
31,il,low,2018,-1.778190987933634,1.4021029777048497
40,il,low,2019,-0.7281722207231525,0.6739307569816972
49,il,low,2021,-5.930258457306742,-5.256327700325045
5,il,mid,2015,,
14,il,mid,2016,,
23,il,mid,2017,,4.052730073964675
32,il,mid,2018,-2.3782608695652208,1.674469204399454
41,il,mid,2019,-2.6331496223719135,-0.9586804179724595
50,il,mid,2021,-3.8098384424192204,-4.76851886039168
6,tx,high,2015,,-6.726017733900086
15,tx,high,2016,-2.309450980392157,-9.035468714292243
24,tx,high,2017,6.209179487179494,-2.826289227112749
33,tx,high,2018,10.03032051282051,7.20403128570776
42,tx,high,2019,4.531666666666659,11.73569795237442
51,tx,high,2021,-12.08765151515151,-0.35195356277709067
7,tx,low,2015,,-1.4635133892824825
16,tx,low,2016,-0.5751050847457648,-2.0386184740282474
25,tx,low,2017,-0.26522326499059545,-2.303841739018843
34,tx,low,2018,0.9302744094354338,-1.373567329583409
43,tx,low,2019,5.457132143551263,4.083564813967854
52,tx,low,2021,-0.9875886960226978,3.095976117945156
8,tx,mid,2015,,-0.9905621720525808
17,tx,mid,2016,-0.6093728522336797,-1.5999350242862604
26,tx,mid,2017,0.1642160865571114,-1.435718937729149
35,tx,mid,2018,0.7507531321852561,-0.684965805543893
44,tx,mid,2019,2.4367790228994117,1.7518132173555188
53,tx,mid,2021,1.2075555049008457,2.9593687222563645
