,state,bh_level,Year,Net Change from Prev Year,Net Change from Avg Year
0,ca,high,2015,,-3.015061705532858
9,ca,high,2016,4.272827207145312,1.2577655016124538
18,ca,high,2017,0.16806007842095028,1.425825580033404
27,ca,high,2018,-2.4364962333707325,-1.0106706533373284
36,ca,high,2019,1.1455836397058832,0.13491298636855475
45,ca,high,2021,1.0723153044871765,1.2072282908557312
1,ca,low,2015,,-2.792062219071525
10,ca,low,2016,4.195568400770711,1.4035061816991856
19,ca,low,2017,0.9662447257383917,2.3697509074375773
28,ca,low,2018,-4.276308828302504,-1.9065579208649268
37,ca,low,2019,1.852874560080437,-0.053683360784489764
46,ca,low,2021,1.0327297723687394,0.9790464115842497
2,ca,mid,2015,,-1.8712630639078682
11,ca,mid,2016,3.375793188293194,1.504530124385326
20,ca,mid,2017,0.3971296296296245,1.9016597540149505
29,ca,mid,2018,-4.414980050307925,-2.5133202962929744
38,ca,mid,2019,1.99484777517565,-0.5184725211173244
47,ca,mid,2021,2.015338524035208,1.4968660029178835
3,il,high,2015,,
12,il,high,2016,,
21,il,high,2017,,3.010373675679949
30,il,high,2018,-2.382386675100145,0.6279870005798038
39,il,high,2019,-0.5961290322580677,0.03185796832173615
48,il,high,2021,-3.702076612903223,-3.670218644581487
4,il,low,2015,,
13,il,low,2016,,
22,il,low,2017,,3.4307453047968792
31,il,low,2018,-1.7447337387138333,1.686011566083046
40,il,low,2019,-0.9833619402985079,0.702649625784538
49,il,low,2021,-6.52205612244898,-5.819406496664442
5,il,mid,2015,,
14,il,mid,2016,,
23,il,mid,2017,,2.6189495407999246
32,il,mid,2018,-1.9331232492997188,0.6858262915002058
41,il,mid,2019,-0.9539617486338798,-0.26813545713367404
50,il,mid,2021,-2.7685049180327894,-3.0366403751664635
6,tx,high,2015,,-3.0045944716005835
15,tx,high,2016,0.7179261661954754,-2.286668305405108
24,tx,high,2017,0.3503366477272749,-1.936331657677833
33,tx,high,2018,2.15538277158587,0.2190511139080371
42,tx,high,2019,4.120251427548325,4.339302541456362
51,tx,high,2021,-1.6700617621372302,2.669240779319132
7,tx,low,2015,,-0.9253358385133552
16,tx,low,2016,-2.11826790761134,-3.0436037461246954
25,tx,low,2017,0.47458930504438257,-2.569014441080313
34,tx,low,2018,0.5954214476437869,-1.973592993436526
43,tx,low,2019,5.965137971239791,3.9915449778032652
52,tx,low,2021,0.5284570635483163,4.520002041351582
8,tx,mid,2015,,-1.5469351787490169
17,tx,mid,2016,-0.37087193460490653,-1.9178071133539234
26,tx,mid,2017,-0.45223388204561843,-2.370040995399542
35,tx,mid,2018,0.38677186449913137,-1.9832691309004105
44,tx,mid,2019,6.144453659548006,4.1611845286475955
53,tx,mid,2021,-0.5043166388923126,3.656867889755283
