,state,charter,Year,Net Change from Prev Year,Net Change from Avg Year
0,ca,0,2015,,-1.8647730061349677
6,ca,0,2016,3.191411042944786,1.3266380368098183
12,ca,0,2017,0.3750552147239219,1.7016932515337402
18,ca,0,2018,-3.5648466257668687,-1.8631533742331285
24,ca,0,2019,1.2350061349693249,-0.6281472392638037
30,ca,0,2021,1.9558895705521522,1.3277423312883485
1,ca,1,2015,,-2.693145539906098
7,ca,1,2016,4.767605633802816,2.074460093896718
13,ca,1,2017,0.9414788732394399,3.015938967136158
19,ca,1,2018,-4.813450704225353,-1.797511737089195
25,ca,1,2019,2.768521126760554,0.9710093896713587
31,ca,1,2021,-2.5417605633802793,-1.5707511737089206
2,il,0,2015,,
8,il,0,2016,,
14,il,0,2017,,3.215175718849835
20,il,0,2018,-1.9685303514376926,1.2466453674121425
26,il,0,2019,-0.7952076677316313,0.4514376996805112
32,il,0,2021,-5.3646964856230035,-4.913258785942492
3,il,1,2015,,
9,il,1,2016,,
15,il,1,2017,,3.981372549019609
21,il,1,2018,-2.272549019607842,1.7088235294117666
27,il,1,2019,-2.076470588235294,-0.3676470588235272
33,il,1,2021,-4.954901960784314,-5.322549019607841
4,tx,0,2015,,-1.3514250225835553
10,tx,0,2016,-0.5818224932249265,-1.9332475158084819
16,tx,0,2017,-0.2900271002710113,-2.223274616079493
22,tx,0,2018,0.7849186991869885,-1.4383559168925046
28,tx,0,2019,5.175663956639575,3.73730803974707
34,tx,0,2021,-0.5283130081300911,3.208995031616979
5,tx,1,2015,,-1.7616907051282098
11,tx,1,2016,-0.5677403846153837,-2.3294310897435935
17,tx,1,2017,0.4333653846153851,-1.8960657051282084
23,tx,1,2018,1.7823557692307688,-0.1137099358974396
29,tx,1,2019,4.081105769230767,3.9673958333333275
35,tx,1,2021,-1.833894230769225,2.1335016025641025
