,state,Year,Net Change from Prev Year,Net Change from Avg Year
0,ca,2015,,-1.987687216997557
3,ca,2016,3.4252873563218387,1.4376001393242817
6,ca,2017,0.45910135841170074,1.8967014977359824
9,ca,2018,-3.7501149425287252,-1.8534134447927428
12,ca,2019,1.4625496342737634,-0.39086381051897945
15,ca,2021,1.2885266457680231,0.8976628352490437
1,il,2015,,
4,il,2016,,
7,il,2017,,3.2728951255539123
10,il,2018,-1.9914327917282115,1.2814623338257007
13,il,2019,-0.8917282127031037,0.3897341211225971
16,il,2021,-5.333825701624814,-4.944091580502217
2,tx,2015,,-1.4020991686460818
5,tx,2016,-0.5800831353919307,-1.9821823040380124
8,tx,2017,-0.20067695961994758,-2.18285926365796
11,tx,2018,0.908117577197153,-1.274741686460807
14,tx,2019,5.040469121140134,3.7657274346793272
17,tx,2021,-0.6895724465558146,3.0761549881235126
