,state,bh_level,Year,Net Change from Prev Year,Net Change from Avg Year
0,ca,high,2015,,-1.8931498398949458
9,ca,high,2016,2.3680517587023893,0.4749019188074435
18,ca,high,2017,-0.4644087111883728,0.010493207619070688
27,ca,high,2018,-0.13937992290933465,-0.12888671529026396
36,ca,high,2019,0.9928231019928369,0.8639363867025729
45,ca,high,2021,-0.19123134464646796,0.6727050420561049
1,ca,low,2015,,-4.333539458244367
10,ca,low,2016,5.255612148651203,0.9220726904068357
19,ca,low,2017,-0.8582083418943895,0.06386434851244616
28,ca,low,2018,0.20872363305484498,0.27258798156729114
37,ca,low,2019,0.931653048937811,1.2042410305051021
46,ca,low,2021,0.666532376747611,1.8707734072527131
2,ca,mid,2015,,-2.2852264546267556
11,ca,mid,2016,2.923729102501447,0.6385026478746916
20,ca,mid,2017,-0.7877892852720336,-0.14928663739734205
29,ca,mid,2018,-0.8451840875928873,-0.9944707249902294
38,ca,mid,2019,0.9881765414648847,-0.006294183525344721
47,ca,mid,2021,2.8030695361903213,2.7967753526649766
3,il,high,2015,,
12,il,high,2016,,
21,il,high,2017,,1.1989011108475651
30,il,high,2018,0.6043348091924923,1.8032359200400574
39,il,high,2019,-0.38709677419354804,1.4161391458465094
48,il,high,2021,-5.834415322580643,-4.418276176734134
4,il,low,2015,,
13,il,low,2016,,
22,il,low,2017,,4.1874356879153005
31,il,low,2018,-2.9788520361157182,1.2085836517995823
40,il,low,2019,-1.0463917910447762,0.16219186075480607
49,il,low,2021,-5.720403061224491,-5.558211200469685
5,il,mid,2015,,
14,il,mid,2016,,
23,il,mid,2017,,2.356763549846171
32,il,mid,2018,-1.1755532212885171,1.181210328557654
41,il,mid,2019,-0.5711612021857917,0.6100491263718624
50,il,mid,2021,-4.758072131147543,-4.1480230047756805
6,tx,high,2015,,-5.987339635723181
15,tx,high,2016,4.597620769804244,-1.3897188659189368
24,tx,high,2017,4.077562976535816,2.6878441106168793
33,tx,high,2018,5.641905088332713,8.329749198949592
42,tx,high,2019,5.134519603740635,13.464268802690228
51,tx,high,2021,-30.569072413304802,-17.104803610614574
7,tx,low,2015,,-4.64928832458439
16,tx,low,2016,4.291119274799186,-0.3581690497852037
25,tx,low,2017,1.5684981049781044,1.2103290551929007
34,tx,low,2018,1.728963573504359,2.9392926286972596
43,tx,low,2019,1.678160169393209,4.6174527980904685
52,tx,low,2021,-8.377069905701532,-3.7596171076110636
8,tx,mid,2015,,-6.102501933278781
17,tx,mid,2016,4.572034082091804,-1.5304678511869767
26,tx,mid,2017,2.9066999659207795,1.3762321147338028
35,tx,mid,2018,4.082206220340694,5.458438335074497
44,tx,mid,2019,2.432988069370495,7.891426404444992
53,tx,mid,2021,-14.984553474232534,-7.093127069787542
