,state,Year,Net Change from Prev Year,Net Change from Avg Year
0,ca,2015,,-1.9757419354838746
3,ca,2016,2.65376344086021,0.6780215053763357
6,ca,2017,-0.5939569892473067,0.08406451612902899
9,ca,2018,-0.5466989247311851,-0.4626344086021561
12,ca,2019,0.7760322580645216,0.3133978494623655
15,ca,2021,1.0494946236559102,1.3628924731182757
1,il,2015,,
4,il,2016,,
7,il,2017,,3.251440177252583
10,il,2018,-1.9028064992614482,1.3486336779911348
13,il,2019,-0.8045790251107761,0.5440546528803587
16,il,2021,-5.6881831610044316,-5.144128508124073
2,tx,2015,,-5.28831509181564
5,tx,2016,4.418332725282738,-0.8699823665329021
8,tx,2017,2.8402845676760364,1.9703022011431344
11,tx,2018,4.0226267785479735,5.992928979691108
14,tx,2019,3.1496570594673443,9.142586039158452
17,tx,2021,-20.090105800802625,-10.947519761644173
