,state,h_level,2017,2018,2019,2021
0,ca,high,10.66117136659436,10.680084745762711,10.445962732919254,9.457915057915057
1,ca,low,4.152922077922078,5.186912751677853,5.47815699658703,4.338043478260869
2,ca,mid,9.02818181818182,8.965984072810011,9.660481099656359,8.751345029239765
3,il,high,6.193181818181818,5.566666666666666,8.208510638297872,4.125
4,il,low,2.401639344262295,2.4354128440366973,4.871057513914657,3.559357277882798
5,il,mid,2.632173913043478,2.5483050847457624,6.0131147540983605,3.1022900763358776
6,nyc,high,9.9375,9.195652173913043,8.857142857142858,5.452830188679245
7,nyc,low,4.60025873221216,4.599476439790576,4.648936170212766,3.7037037037037037
8,nyc,mid,9.167146974063401,8.955307262569832,9.446866485013624,6.160621761658031
9,tx,high,0.015384615384615385,0.015151515151515152,0.029850746268656716,0.1774193548387097
10,tx,low,0.0,0.0,0.0,0.06535947712418301
11,tx,mid,0.0,0.0,0.0,0.2129032258064516
