,state,bh_level,Year,Net Change from Prev Year,Net Change from First Year
0,ca,high,2017,,0.0
12,ca,high,2018,0.0347621000820304,0.0347621000820304
24,ca,high,2019,0.23467129387114127,0.2694333939531717
36,ca,high,2021,-1.0273617897652123,-0.7579283958120406
1,ca,low,2017,,0.0
13,ca,low,2018,1.0003732554365459,1.0003732554365459
25,ca,low,2019,-0.11082051282051175,0.8895527426160341
37,ca,low,2021,-0.5127033639143743,0.3768493787016598
2,ca,mid,2017,,0.0
14,ca,mid,2018,0.027633144797892584,0.027633144797892584
26,ca,mid,2019,0.47436224315652975,0.5019953879544223
38,ca,mid,2021,-1.077625246270757,-0.5756298583163346
3,il,high,2017,,0.0
15,il,high,2018,-0.2683777429467078,-0.2683777429467078
27,il,high,2019,3.728409090909092,3.460031347962384
39,il,high,2021,-5.4397036664992475,-1.9796723185368634
4,il,low,2017,,0.0
16,il,low,2018,0.042650794027583094,0.042650794027583094
28,il,low,2019,2.1686505594565624,2.2113013534841457
40,il,low,2021,-0.3436096059113303,1.8676917475728152
5,il,mid,2017,,0.0
17,il,mid,2018,0.024863387978142137,0.024863387978142137
29,il,mid,2019,2.6126984126984123,2.637561800676554
41,il,mid,2021,-1.3447194100737403,1.2928423906028141
6,nyc,high,2017,,0.0
18,nyc,high,2018,-0.22476498237367792,-0.22476498237367792
30,nyc,high,2019,0.27352173913043565,0.048756756756757724
42,nyc,high,2021,-3.421946524064171,-3.373189767307413
7,nyc,low,2017,,0.0
19,nyc,low,2018,0.04541515676697738,0.04541515676697738
31,nyc,low,2019,0.1573334398466213,0.20274859661359868
43,nyc,low,2021,-0.48112541363859496,-0.2783768170249963
8,nyc,mid,2017,,0.0
20,nyc,mid,2018,-0.06692069540366763,-0.06692069540366763
32,nyc,mid,2019,0.11936090225563945,0.052440206851971816
44,nyc,mid,2021,-2.1090107591153617,-2.05657055226339
9,tx,high,2017,,0.0
21,tx,high,2018,-0.00034324942791769987,-0.00034324942791769987
33,tx,high,2019,0.0098818474758325,0.0095385980479148
45,tx,high,2021,0.09787140662716699,0.1074100046750818
10,tx,low,2017,,0.0
22,tx,low,2018,0.0,0.0
34,tx,low,2019,0.0,0.0
46,tx,low,2021,0.032,0.032
11,tx,mid,2017,,0.0
23,tx,mid,2018,0.0,0.0
35,tx,mid,2019,0.0,0.0
47,tx,mid,2021,0.2565789473684211,0.2565789473684211
