,state,bh_level,Year,Net Change from Prev Year,Net Change from First Year
0,ca,high,2015,,0.0
9,ca,high,2016,4.272827207145312,4.272827207145312
18,ca,high,2017,0.16806007842095028,4.440887285566262
27,ca,high,2018,-2.4364962333707325,2.0043910521955297
36,ca,high,2019,1.1455836397058832,3.149974691901413
45,ca,high,2021,1.0723153044871765,4.222289996388589
1,ca,low,2015,,0.0
10,ca,low,2016,4.195568400770711,4.195568400770711
19,ca,low,2017,0.9662447257383917,5.161813126509102
28,ca,low,2018,-4.276308828302504,0.8855042982065982
37,ca,low,2019,1.852874560080437,2.738378858287035
46,ca,low,2021,1.0327297723687394,3.7711086306557746
2,ca,mid,2015,,0.0
11,ca,mid,2016,3.375793188293194,3.375793188293194
20,ca,mid,2017,0.3971296296296245,3.7729228179228187
29,ca,mid,2018,-4.414980050307925,-0.6420572323851061
38,ca,mid,2019,1.99484777517565,1.3527905427905438
47,ca,mid,2021,2.015338524035208,3.3681290668257517
3,il,high,2015,,
12,il,high,2016,,
21,il,high,2017,,
30,il,high,2018,-2.382386675100145,
39,il,high,2019,-0.5961290322580677,
48,il,high,2021,-3.702076612903223,
4,il,low,2015,,
13,il,low,2016,,
22,il,low,2017,,
31,il,low,2018,-1.7447337387138333,
40,il,low,2019,-0.9833619402985079,
49,il,low,2021,-6.52205612244898,
5,il,mid,2015,,
14,il,mid,2016,,
23,il,mid,2017,,
32,il,mid,2018,-1.9331232492997188,
41,il,mid,2019,-0.9539617486338798,
50,il,mid,2021,-2.7685049180327894,
6,tx,high,2015,,0.0
15,tx,high,2016,0.7179261661954754,0.7179261661954754
24,tx,high,2017,0.3503366477272749,1.0682628139227504
33,tx,high,2018,2.15538277158587,3.2236455855086206
42,tx,high,2019,4.120251427548325,7.343897013056946
51,tx,high,2021,-1.6700617621372302,5.673835250919716
7,tx,low,2015,,0.0
16,tx,low,2016,-2.11826790761134,-2.11826790761134
25,tx,low,2017,0.47458930504438257,-1.6436786025669576
34,tx,low,2018,0.5954214476437869,-1.0482571549231707
43,tx,low,2019,5.965137971239791,4.91688081631662
52,tx,low,2021,0.5284570635483163,5.445337879864937
8,tx,mid,2015,,0.0
17,tx,mid,2016,-0.37087193460490653,-0.37087193460490653
26,tx,mid,2017,-0.45223388204561843,-0.823105816650525
35,tx,mid,2018,0.38677186449913137,-0.4363339521513936
44,tx,mid,2019,6.144453659548006,5.708119707396612
53,tx,mid,2021,-0.5043166388923126,5.2038030685043
