,state,h_level,Year,Net Change from Prev Year,Net Change from Avg Year
0,ca,high,2015,,-3.527939665625638
9,ca,high,2016,5.137282791009724,1.6093431253840862
18,ca,high,2017,-0.05681332901973235,1.5525297963643538
27,ca,high,2018,-2.399465080071174,-0.84693528370682
36,ca,high,2019,1.6889383417508412,0.8420030580440212
45,ca,high,2021,-0.47100408850408826,0.37099896953993294
1,ca,low,2015,,-1.9505093078177822
10,ca,low,2016,2.9513303769401347,1.0008210691223525
19,ca,low,2017,1.2210908199534174,2.22191188907577
28,ca,low,2018,-4.051134929968995,-1.8292230408932255
37,ca,low,2019,1.380858001850143,-0.44836503904308245
46,ca,low,2021,1.453729468599036,1.0053644295559536
2,ca,mid,2015,,-2.200052834091238
11,ca,mid,2016,3.225173428347773,1.025120594256535
20,ca,mid,2017,0.7428721174004167,1.7679927116569516
29,ca,mid,2018,-3.944275770690858,-2.1762830590339064
38,ca,mid,2019,1.6254504795681228,-0.5508325794657836
47,ca,mid,2021,2.6848877461432252,2.1340551666774417
3,il,high,2015,,
12,il,high,2016,,
21,il,high,2017,,2.475262981488168
30,il,high,2018,-1.4067073170731703,1.0685556644149976
39,il,high,2019,-0.11945547362450526,0.9491001907904923
48,il,high,2021,-5.442019027484143,-4.492918836693651
4,il,low,2015,,
13,il,low,2016,,
22,il,low,2017,,3.340252740587921
31,il,low,2018,-1.8574865609020534,1.4827661796858678
40,il,low,2019,-1.1336639595260323,0.3491022201598355
49,il,low,2021,-5.521223360593439,-5.172121140433603
5,il,mid,2015,,
14,il,mid,2016,,
23,il,mid,2017,,2.8076188559703112
32,il,mid,2018,-2.5484826932195404,0.2591361627507709
41,il,mid,2019,0.2805656382335151,0.539701800984286
50,il,mid,2021,-4.146158620689654,-3.606456819705368
6,tx,high,2015,,-2.8770445673273173
15,tx,high,2016,0.44052500268438877,-2.4365195646429285
24,tx,high,2017,-0.1319561430829026,-2.568475707725831
33,tx,high,2018,2.6952150323323565,0.12673932460652537
42,tx,high,2019,5.1278124319142435,5.254551756520769
51,tx,high,2021,-2.753802997951979,2.5007487585687898
7,tx,low,2015,,-0.8667550659151715
16,tx,low,2016,-0.975924921957656,-1.8426799878728275
25,tx,low,2017,-0.44940597693361894,-2.2920859648064464
34,tx,low,2018,0.51780795535538,-1.7742780094510664
43,tx,low,2019,4.980897642825923,3.2066196333748564
52,tx,low,2021,0.36255976129582024,3.5691793946706767
8,tx,mid,2015,,-1.876850173634395
17,tx,mid,2016,-0.2287033407258079,-2.105553514360203
26,tx,mid,2017,0.15141432933673826,-1.9541391850234646
35,tx,mid,2018,0.5250874207958915,-1.429051764227573
44,tx,mid,2019,5.300147303613194,3.871095539385621
53,tx,mid,2021,-0.3765964415255567,3.4944990978600643
