,state,income_level,Year,Net Change from Prev Year,Net Change from Avg Year
0,ca,high,2015,,-1.545789040328998
9,ca,high,2016,1.2844215578442117,-0.26136748248478625
18,ca,high,2017,1.6758611585649987,1.4144936760802125
27,ca,high,2018,-2.745697626841249,-1.3312039507610365
36,ca,high,2019,1.45459045584046,0.12338650507942361
45,ca,high,2021,1.4770937873357184,1.600480292415142
1,ca,low,2015,,-2.8281063311550483
10,ca,low,2016,5.180122308443394,2.352015977288346
19,ca,low,2017,-0.3993595923817779,1.9526563849065681
28,ca,low,2018,-3.7706462853611598,-1.8179899004545916
37,ca,low,2019,0.9157102272727187,-0.902279673181873
46,ca,low,2021,2.145983215778479,1.2437035425966059
2,ca,mid,2015,,-3.220235637598911
11,ca,mid,2016,3.6721300482039965,0.4518944106050853
20,ca,mid,2017,0.826315410416278,1.2782098210213633
29,ca,mid,2018,-1.8589102207955222,-0.5807003997741589
38,ca,mid,2019,1.692208982437542,1.111508582663383
47,ca,mid,2021,-0.15218535958015877,0.9593232230832243
3,il,high,2015,,
12,il,high,2016,,
21,il,high,2017,,1.4991230686734909
30,il,high,2018,0.6913390313390337,2.1904621000125246
39,il,high,2019,-1.2500248138957915,0.9404372861167332
48,il,high,2021,-5.570459740919482,-4.630022454802749
4,il,low,2015,,
13,il,low,2016,,
22,il,low,2017,,3.3192151692778467
31,il,low,2018,-2.7194386175207264,0.5997765517571203
40,il,low,2019,-0.4595692532332105,0.14020729852390978
49,il,low,2021,-4.1994063180827865,-4.059199019558877
5,il,mid,2015,,
14,il,mid,2016,,
23,il,mid,2017,,3.7197654420531485
32,il,mid,2018,-2.4387807881773433,1.2809846538758052
41,il,mid,2019,-0.8729158545085127,0.40806879936729246
50,il,mid,2021,-5.816887694663546,-5.408818895296253
6,tx,high,2015,,0.009449427924934639
15,tx,high,2016,-0.80582281423208,-0.7963733863071454
24,tx,high,2017,0.6488345067756853,-0.14753887953146005
33,tx,high,2018,-2.6071194571194525,-2.7546583366509125
42,tx,high,2019,5.7096066790352396,2.954948342384327
51,tx,high,2021,-2.2207755102040707,0.7341728321802563
7,tx,low,2015,,-3.4999156235480235
16,tx,low,2016,2.349815873015878,-1.1500997505321457
25,tx,low,2017,1.0005999806426544,-0.14949976988949132
34,tx,low,2018,2.0684145414782478,1.9189147715887565
43,tx,low,2019,0.8430700415444434,2.7619848131332
52,tx,low,2021,-2.643369253885524,0.11861555924767586
8,tx,mid,2015,,-0.7525481654192916
17,tx,mid,2016,-1.1501959725098345,-1.9027441379291261
26,tx,mid,2017,-0.31380435443653454,-2.2165484923656606
35,tx,mid,2018,1.163282102217451,-1.0532663901482096
44,tx,mid,2019,4.511255889532663,3.4579894993844533
53,tx,mid,2021,-0.990871812906633,2.4671176864778204
