,state,b_level,Year,Net Change from Prev Year,Net Change from Avg Year
0,ca,high,2015,,-1.7458333333333318
9,ca,high,2016,-3.0,-4.745833333333332
18,ca,high,2017,4.460000000000001,-0.28583333333333094
27,ca,high,2018,-1.0100000000000016,-1.2958333333333325
36,ca,high,2019,1.0150000000000006,-0.28083333333333194
45,ca,high,2021,8.635000000000002,8.35416666666667
1,ca,low,2015,,-1.9320276604267868
10,ca,low,2016,2.732113369968328,0.8000857095415412
19,ca,low,2017,-0.7058287722052228,0.09425693733631846
28,ca,low,2018,-0.6321379876846684,-0.53788105034835
37,ca,low,2019,0.9257004112900091,0.38781936094165914
46,ca,low,2021,0.7999273420139552,1.1877467029556144
2,ca,mid,2015,,-2.094017857142857
11,ca,mid,2016,0.8928571428571423,-1.2011607142857148
20,ca,mid,2017,0.5017261904761945,-0.6994345238095203
29,ca,mid,2018,0.8458928571428537,0.14645833333333336
38,ca,mid,2019,-2.217142857142859,-2.0706845238095255
47,ca,mid,2021,7.989523809523812,5.918839285714286
3,il,high,2015,,
12,il,high,2016,,
21,il,high,2017,,1.1011536967874145
30,il,high,2018,-0.1954133064516137,0.9057403903358008
39,il,high,2019,-0.4283043032786873,0.4774360870571135
48,il,high,2021,-2.9617662612374414,-2.484330174180328
4,il,low,2015,,
13,il,low,2016,,
22,il,low,2017,,3.5598678289449843
31,il,low,2018,-2.2201781674208156,1.3396896615241687
40,il,low,2019,-0.8064979087965476,0.5331917527276211
49,il,low,2021,-5.965940995924395,-5.432749243196774
5,il,mid,2015,,
14,il,mid,2016,,
23,il,mid,2017,,2.6168244119448154
32,il,mid,2018,-0.2362318840579718,2.3805925278868436
41,il,mid,2019,-1.8441518677281046,0.536440660158739
50,il,mid,2021,-6.07029826014913,-5.533857599990391
6,tx,high,2015,,-7.509102601185404
15,tx,high,2016,6.081043478260867,-1.4280591229245374
24,tx,high,2017,3.2598731884057948,1.8318140654812574
33,tx,high,2018,4.810024509803924,6.641838575285181
42,tx,high,2019,17.36491596638656,24.006754541671743
51,tx,high,2021,-47.550000000000004,-23.543245458328265
7,tx,low,2015,,-5.1287316744646105
16,tx,low,2016,4.385043183059267,-0.7436884914053437
25,tx,low,2017,2.7272307953277064,1.9835423039223627
34,tx,low,2018,3.8083079447675416,5.791850248689904
43,tx,low,2019,3.226619359682914,9.018469608372818
52,tx,low,2021,-19.93991160348797,-10.921441995115153
8,tx,mid,2015,,-5.881775852463704
17,tx,mid,2016,4.030929614275422,-1.8508462381882822
26,tx,mid,2017,3.496417832084383,1.6455715938961006
35,tx,mid,2018,6.147751237850727,7.793322831746828
44,tx,mid,2019,1.3318140350877172,9.125136866834545
53,tx,mid,2021,-19.95654606866002,-10.831409201825476
