,state,bh_level,Year,Net Change from Prev Year,Net Change from First Year
0,ca,high,2015,,0.0
9,ca,high,2016,2.3680517587023893,2.3680517587023893
18,ca,high,2017,-0.4644087111883728,1.9036430475140165
27,ca,high,2018,-0.13937992290933465,1.7642631246046818
36,ca,high,2019,0.9928231019928369,2.7570862265975187
45,ca,high,2021,-0.19123134464646796,2.5658548819510507
1,ca,low,2015,,0.0
10,ca,low,2016,5.255612148651203,5.255612148651203
19,ca,low,2017,-0.8582083418943895,4.397403806756813
28,ca,low,2018,0.20872363305484498,4.606127439811658
37,ca,low,2019,0.931653048937811,5.537780488749469
46,ca,low,2021,0.666532376747611,6.20431286549708
2,ca,mid,2015,,0.0
11,ca,mid,2016,2.923729102501447,2.923729102501447
20,ca,mid,2017,-0.7877892852720336,2.1359398172294135
29,ca,mid,2018,-0.8451840875928873,1.2907557296365262
38,ca,mid,2019,0.9881765414648847,2.278932271101411
47,ca,mid,2021,2.8030695361903213,5.082001807291732
3,il,high,2015,,
12,il,high,2016,,
21,il,high,2017,,0.0
30,il,high,2018,0.6043348091924923,0.6043348091924923
39,il,high,2019,-0.38709677419354804,0.21723803499894423
48,il,high,2021,-5.834415322580643,-5.617177287581699
4,il,low,2015,,
13,il,low,2016,,
22,il,low,2017,,0.0
31,il,low,2018,-2.9788520361157182,-2.9788520361157182
40,il,low,2019,-1.0463917910447762,-4.0252438271604944
49,il,low,2021,-5.720403061224491,-9.745646888384986
5,il,mid,2015,,
14,il,mid,2016,,
23,il,mid,2017,,0.0
32,il,mid,2018,-1.1755532212885171,-1.1755532212885171
41,il,mid,2019,-0.5711612021857917,-1.7467144234743088
50,il,mid,2021,-4.758072131147543,-6.504786554621852
6,tx,high,2015,,0.0
15,tx,high,2016,4.597620769804244,4.597620769804244
24,tx,high,2017,4.077562976535816,8.67518374634006
33,tx,high,2018,5.641905088332713,14.317088834672774
42,tx,high,2019,5.134519603740635,19.45160843841341
51,tx,high,2021,-30.569072413304802,-11.117463974891393
7,tx,low,2015,,0.0
16,tx,low,2016,4.291119274799186,4.291119274799186
25,tx,low,2017,1.5684981049781044,5.859617379777291
34,tx,low,2018,1.728963573504359,7.5885809532816495
43,tx,low,2019,1.678160169393209,9.266741122674858
52,tx,low,2021,-8.377069905701532,0.8896712169733263
8,tx,mid,2015,,0.0
17,tx,mid,2016,4.572034082091804,4.572034082091804
26,tx,mid,2017,2.9066999659207795,7.4787340480125835
35,tx,mid,2018,4.082206220340694,11.560940268353278
44,tx,mid,2019,2.432988069370495,13.993928337723773
53,tx,mid,2021,-14.984553474232534,-0.9906251365087613
