,state,Year,Net Change from Prev Year,Net Change from First Year
0,ca,2015,,0.0
3,ca,2016,2.65376344086021,2.65376344086021
6,ca,2017,-0.5939569892473067,2.0598064516129035
9,ca,2018,-0.5466989247311851,1.5131075268817185
12,ca,2019,0.7760322580645216,2.28913978494624
15,ca,2021,1.0494946236559102,3.33863440860215
1,il,2015,,
4,il,2016,,
7,il,2017,,0.0
10,il,2018,-1.9028064992614482,-1.9028064992614482
13,il,2019,-0.8045790251107761,-2.7073855243722242
16,il,2021,-5.6881831610044316,-8.395568685376656
2,tx,2015,,0.0
5,tx,2016,4.418332725282738,4.418332725282738
8,tx,2017,2.8402845676760364,7.258617292958775
11,tx,2018,4.0226267785479735,11.281244071506748
14,tx,2019,3.1496570594673443,14.430901130974092
17,tx,2021,-20.090105800802625,-5.659204669828533
