,schoolcode,lowincome,black,hispanic,white,totalenrolled,dropout,year,countycode,districtcode,hybridper,virtualper,schoolmode,charter,state
0,1100170112607ca,48.4,41.27,46.84,2.78,407,0.49,2015,1ca,1ca10017ca,0.0,0.0,0.0,1,ca
1,1100170112607ca,66.8,38.33,51.35,3.19,407,0.49,2016,1ca,1ca10017ca,0.0,0.0,0.0,1,ca
2,1100170112607ca,74.3,37.22,52.61,4.47,81,4.9,2017,1ca,1ca10017ca,0.0,0.0,0.0,1,ca
3,1100170112607ca,74.6,33.41,55.69,2.66,87,4.6,2018,1ca,1ca10017ca,0.0,0.0,0.0,1,ca
4,1100170112607ca,78.6,32.73,56.36,3.64,85,3.5,2019,1ca,1ca10017ca,0.0,0.0,0.0,1,ca
5,1100170112607ca,78.1,35.54,49.51,4.17,94,9.6,2021,1ca,1ca10017ca,0.0,1.0,1.0,1,ca
6,1100170130419ca,77.8,28.16,50.9,11.19,246,24.39,2015,1ca,1ca10017ca,0.0,0.0,0.0,0,ca
7,1100170130419ca,86.3,32.81,48.22,6.32,246,24.39,2016,1ca,1ca10017ca,0.0,0.0,0.0,0,ca
8,1100170130419ca,79.9,39.26,45.04,5.37,171,36.8,2017,1ca,1ca10017ca,0.0,0.0,0.0,0,ca
9,1100170130419ca,81.8,35.06,48.85,5.75,95,38.9,2018,1ca,1ca10017ca,0.0,0.0,0.0,0,ca
10,1100170130419ca,84.5,31.58,56.39,6.02,80,46.3,2019,1ca,1ca10017ca,0.0,0.0,0.0,0,ca
11,1100170130419ca,72.0,34.29,56.19,3.81,63,57.1,2021,1ca,1ca10017ca,0.0,1.0,1.0,0,ca
12,1316170131763ca,98.5,10.0,45.37,28.29,208,1.44,2015,1ca,1ca31617ca,0.0,0.0,0.0,0,ca
13,1316170131763ca,64.5,8.67,48.47,26.79,208,1.44,2016,1ca,1ca31617ca,0.0,0.0,0.0,0,ca
14,1316170131763ca,92.8,8.68,50.0,22.37,47,0.0,2017,1ca,1ca31617ca,0.0,0.0,0.0,0,ca
15,1316170131763ca,99.7,7.73,50.93,23.2,38,2.6,2018,1ca,1ca31617ca,0.0,0.0,0.0,0,ca
16,1316170131763ca,100.0,6.99,51.88,22.58,47,57.4,2019,1ca,1ca31617ca,0.0,0.0,0.0,0,ca
17,1316170131763ca,99.2,5.35,55.35,20.13,38,2.6,2021,1ca,1ca31617ca,0.0,1.0,1.0,0,ca
18,1611190106401ca,29.9,5.29,10.59,10.0,175,0.0,2015,1ca,1ca61119ca,0.0,0.0,0.0,0,ca
19,1611190106401ca,29.1,4.0,8.57,12.57,175,0.0,2016,1ca,1ca61119ca,0.0,0.0,0.0,0,ca
20,1611190106401ca,21.2,3.83,9.29,16.39,46,0.0,2017,1ca,1ca61119ca,0.0,0.0,0.0,0,ca
21,1611190106401ca,30.4,4.28,8.02,20.32,44,0.0,2018,1ca,1ca61119ca,0.0,0.0,0.0,0,ca
22,1611190106401ca,28.3,4.69,9.38,22.92,43,0.0,2019,1ca,1ca61119ca,0.0,0.0,0.0,0,ca
23,1611190106401ca,38.0,2.94,10.59,14.71,43,0.0,2021,1ca,1ca61119ca,0.36,0.64,0.82,0,ca
24,1611190119222ca,30.9,15.13,17.44,37.82,124,0.81,2015,1ca,1ca61119ca,0.0,0.0,0.0,1,ca
25,1611190119222ca,22.2,16.86,18.75,34.85,124,0.81,2016,1ca,1ca61119ca,0.0,0.0,0.0,1,ca
26,1611190119222ca,31.3,18.56,17.99,33.52,20,20.0,2017,1ca,1ca61119ca,0.0,0.0,0.0,1,ca
27,1611190119222ca,30.5,16.82,19.53,29.84,30,6.7,2018,1ca,1ca61119ca,0.0,0.0,0.0,1,ca
28,1611190119222ca,34.9,15.89,20.73,30.05,21,0.0,2019,1ca,1ca61119ca,0.0,0.0,0.0,1,ca
29,1611190119222ca,32.9,14.94,25.81,28.01,47,0.0,2021,1ca,1ca61119ca,0.0,1.0,1.0,1,ca
30,1611190130229ca,22.6,5.67,12.66,30.47,1718,0.23,2015,1ca,1ca61119ca,0.0,0.0,0.0,0,ca
31,1611190130229ca,17.8,6.52,11.87,31.08,1718,0.23,2016,1ca,1ca61119ca,0.0,0.0,0.0,0,ca
32,1611190130229ca,18.7,6.22,11.25,31.13,420,1.2,2017,1ca,1ca61119ca,0.0,0.0,0.0,0,ca
33,1611190130229ca,22.6,5.24,11.99,30.35,445,0.9,2018,1ca,1ca61119ca,0.0,0.0,0.0,0,ca
