,totalenrolled,white,black,hispanic,lowincome,dropout,year,charter,hybridper,virtualper,schoolmode,schoolcode,countycode,districtcode,state
0,241,96.3,0.0,0.0,36.9,4.6,2021,0,0.0,0.0,0.0,10010010260001il,10010il,10010010il,il
1,239,95.4,0.0,0.4,46.4,0.6,2019,0,0.0,0.0,0.0,10010010260001il,10010il,10010010il,il
2,246,96.7,0.0,0.0,43.9,0.0,2018,0,0.0,0.0,0.0,10010010260001il,10010il,10010010il,il
3,226,97.8,0.4,0.4,44.2,0.7,2017,0,0.0,0.0,0.0,10010010260001il,10010il,10010010il,il
4,270,95.2,0.0,0.0,22.2,2.2,2021,0,0.0909,0.0,0.1364,10010020260001il,10010il,10010020il,il
5,288,97.6,0.3,0.0,20.5,3.0,2019,0,0.0,0.0,0.0,10010020260001il,10010il,10010020il,il
6,281,98.6,0.0,0.0,22.4,0.5,2018,0,0.0,0.0,0.0,10010020260001il,10010il,10010020il,il
7,277,98.2,0.7,0.4,20.9,0.0,2017,0,0.0,0.0,0.0,10010020260001il,10010il,10010020il,il
8,257,96.9,0.0,0.0,39.3,2.7,2021,0,0.0,0.0,0.0909,10010030260001il,10010il,10010030il,il
9,237,98.3,0.0,0.0,42.2,3.7,2019,0,0.0,0.0,0.0,10010030260001il,10010il,10010030il,il
10,245,96.3,0.0,0.0,42.0,1.2,2018,0,0.0,0.0,0.0,10010030260001il,10010il,10010030il,il
11,241,96.7,0.0,0.0,36.9,0.8,2017,0,0.0,0.0,0.0,10010030260001il,10010il,10010030il,il
12,176,96.6,0.0,0.0,34.7,3.4,2021,0,0.2727,0.0909,0.3182,10010040260001il,10010il,10010040il,il
13,200,98.5,0.0,1.0,34.0,1.5,2019,0,0.0,0.0,0.0,10010040260001il,10010il,10010040il,il
14,209,99.0,0.0,0.0,27.3,0.0,2018,0,0.0,0.0,0.0,10010040260001il,10010il,10010040il,il
15,228,97.4,0.4,1.3,28.1,0.4,2017,0,0.0,0.0,0.0,10010040260001il,10010il,10010040il,il
16,1852,79.9,6.9,3.3,46.1,5.5,2021,0,1.0,0.0,0.5,10011720220003il,10011il,10011720il,il
17,1742,81.7,6.7,3.5,48.7,2.4,2019,0,0.0,0.0,0.0,10011720220003il,10011il,10011720il,il
18,1753,82.3,7.8,2.6,50.3,1.8,2018,0,0.0,0.0,0.0,10011720220003il,10011il,10011720il,il
19,1873,84.6,7.5,2.6,45.4,1.9,2017,0,0.0,0.0,0.0,10011720220003il,10011il,10011720il,il
20,216,96.8,0.0,0.0,35.6,5.1,2021,0,0.7273,0.0909,0.5455,10050010260001il,10050il,10050010il,il
21,201,96.0,0.5,1.5,38.8,2.4,2019,0,0.0,0.0,0.0,10050010260001il,10050il,10050010il,il
22,195,95.9,0.0,0.0,42.6,1.0,2018,0,0.0,0.0,0.0,10050010260001il,10050il,10050010il,il
23,184,96.2,0.0,1.1,37.0,1.6,2017,0,0.0,0.0,0.0,10050010260001il,10050il,10050010il,il
24,837,32.1,10.8,54.1,70.3,5.7,2021,0,0.8182,0.0909,0.5909,10090150260007il,10090il,10090150il,il
25,896,36.9,10.0,51.7,78.2,8.1,2019,0,0.0,0.0,0.0,10090150260007il,10090il,10090150il,il
26,891,38.6,10.2,49.2,72.4,2.4,2018,0,0.0,0.0,0.0,10090150260007il,10090il,10090150il,il
27,838,38.4,8.9,50.2,78.2,0.5,2017,0,0.0,0.0,0.0,10090150260007il,10090il,10090150il,il
28,142,90.8,0.0,0.0,50.0,10.5,2021,0,0.9091,0.0,0.5455,10090640260003il,10090il,10090640il,il
29,145,92.4,0.0,4.8,50.3,3.8,2019,0,0.0,0.0,0.0,10090640260003il,10090il,10090640il,il
