,totaltested,mathpass,white,black,hispanic,lowincome,charter,year,hybridper,virtualper,schoolmode,schoolcode,countycode,districtcode,state
0,41,19.5,97.56,0.0,0.0,39.02,0,2021,0.0,0.0,0.0,10010010260001il,1001il,1001001026il,il
1,34,14.7,97.06,0.0,0.0,29.41,0,2019,0.0,0.0,0.0,10010010260001il,1001il,1001001026il,il
2,35,31.5,97.14,0.0,0.0,40.0,0,2018,0.0,0.0,0.0,10010010260001il,1001il,1001001026il,il
3,117,42.5,96.58,0.0,0.85,48.72,0,2017,0.0,0.0,0.0,10010010260001il,1001il,1001001026il,il
4,45,37.8,91.11,0.0,0.0,0.0,0,2021,0.0909,0.0,0.1364,10010020260001il,1001il,1001002026il,il
5,49,42.9,97.96,0.0,0.0,0.0,0,2019,0.0,0.0,0.0,10010020260001il,1001il,1001002026il,il
6,46,26.0,97.83,0.0,0.0,21.74,0,2018,0.0,0.0,0.0,10010020260001il,1001il,1001002026il,il
7,128,37.8,98.44,0.0,0.78,21.09,0,2017,0.0,0.0,0.0,10010020260001il,1001il,1001002026il,il
8,49,24.5,97.96,0.0,0.0,44.9,0,2021,0.0,0.0,0.0909,10010030260001il,1001il,1001003026il,il
9,60,21.7,98.33,0.0,0.0,33.33,0,2019,0.0,0.0,0.0,10010030260001il,1001il,1001003026il,il
10,52,28.8,96.15,0.0,0.0,34.62,0,2018,0.0,0.0,0.0,10010030260001il,1001il,1001003026il,il
11,61,18.3,93.44,0.0,0.0,36.07,0,2017,0.0,0.0,0.0,10010030260001il,1001il,1001003026il,il
12,39,10.2,97.44,0.0,0.0,38.46,0,2021,0.2727,0.0909,0.3182,10010040260001il,1001il,1001004026il,il
13,49,16.3,100.0,0.0,0.0,32.65,0,2019,0.0,0.0,0.0,10010040260001il,1001il,1001004026il,il
14,56,26.8,100.0,0.0,0.0,23.21,0,2018,0.0,0.0,0.0,10010040260001il,1001il,1001004026il,il
15,54,25.9,96.3,1.85,0.0,24.07,0,2017,0.0,0.0,0.0,10010040260001il,1001il,1001004026il,il
16,425,21.0,79.06,7.76,4.0,44.24,0,2021,1.0,0.0,0.5,10011720220003il,1001il,1001172022il,il
17,406,23.1,83.99,5.67,2.46,45.57,0,2019,0.0,0.0,0.0,10011720220003il,1001il,1001172022il,il
18,407,23.3,83.29,6.39,3.19,46.19,0,2018,0.0,0.0,0.0,10011720220003il,1001il,1001172022il,il
19,416,26.4,86.54,1.2,7.45,12.74,0,2017,0.0,0.0,0.0,10011720220003il,1001il,1001172022il,il
