,schoolcode,hybridper,virtualper,year,totaltested,mathpass,schoolmode,black,hispanic,white,lowincome,charter,districtcode,countycode,state
0,1100170112607ca,0.0,0.0,2015,85,8.0,0.0,36.46,52.08,6.25,48.4,1,110017ca,1ca,ca
1,1100170112607ca,0.0,0.0,2016,89,11.0,0.0,42.27,48.45,1.03,66.84,1,110017ca,1ca,ca
2,1100170112607ca,0.0,0.0,2017,90,18.89,0.0,30.39,56.86,3.92,74.28,1,110017ca,1ca,ca
3,1100170112607ca,0.0,0.0,2018,96,19.79,0.0,38.04,51.09,4.35,74.56,1,110017ca,1ca,ca
4,1100170112607ca,0.0,0.0,2019,84,10.71,0.0,28.74,62.07,1.15,78.65,1,110017ca,1ca,ca
5,1100170112607ca,0.0,1.0,2021,59,22.03,1.0,40.0,43.53,5.88,78.09,1,110017ca,1ca,ca
6,1611270130450ca,0.0,0.0,2015,230,63.0,0.0,4.97,15.89,39.74,19.6,0,161127ca,1ca,ca
7,1611270130450ca,0.0,0.0,2016,276,75.0,0.0,3.75,16.72,37.2,17.05,0,161127ca,1ca,ca
8,1611270130450ca,0.0,0.0,2017,249,74.3,0.0,4.44,18.09,33.79,17.84,0,161127ca,1ca,ca
9,1611270130450ca,0.0,0.0,2018,274,62.77,0.0,2.3,18.77,34.1,20.13,0,161127ca,1ca,ca
10,1611270130450ca,0.0,0.0,2019,212,70.75,0.0,2.71,14.92,36.95,18.06,0,161127ca,1ca,ca
11,1611270130450ca,0.0,1.0,2021,218,83.49,1.0,4.47,16.49,29.9,15.26,0,161127ca,1ca,ca
12,1611430131177ca,0.0,0.0,2015,592,44.0,0.0,18.44,20.2,39.77,28.91,0,161143ca,1ca,ca
13,1611430131177ca,0.0,0.0,2016,620,51.0,0.0,16.06,23.69,40.16,27.22,0,161143ca,1ca,ca
14,1611430131177ca,0.0,0.0,2017,538,41.08,0.0,15.72,20.28,41.1,27.54,0,161143ca,1ca,ca
15,1611430131177ca,0.0,0.0,2018,570,54.04,0.0,15.66,24.13,40.69,28.21,0,161143ca,1ca,ca
16,1611430131177ca,0.0,0.0,2019,378,52.12,0.0,10.43,25.18,40.65,26.1,0,161143ca,1ca,ca
17,1611430131177ca,0.0,1.0,2021,56,73.21,1.0,12.53,20.08,42.2,24.17,0,161143ca,1ca,ca
18,1611500132225ca,0.0,0.0,2015,505,51.0,0.0,7.7,23.8,30.54,16.91,0,161150ca,1ca,ca
19,1611500132225ca,0.0,0.0,2016,632,51.0,0.0,7.79,20.86,26.98,19.98,0,161150ca,1ca,ca
20,1611500132225ca,0.0,0.0,2017,659,57.06,0.0,7.2,23.78,28.24,21.71,0,161150ca,1ca,ca
21,1611500132225ca,0.0,0.0,2018,617,59.97,0.0,5.46,23.56,27.73,23.75,0,161150ca,1ca,ca
22,1611500132225ca,0.0,0.0,2019,642,59.81,0.0,5.59,22.24,28.24,22.04,0,161150ca,1ca,ca
23,1611500132225ca,0.0,1.0,2021,249,86.35,1.0,5.83,19.88,27.35,19.5,0,161150ca,1ca,ca
24,1611680132746ca,0.0,0.0,2015,51,12.0,0.0,64.1,15.38,5.13,68.11,0,161168ca,1ca,ca
25,1611680132746ca,0.0,0.0,2016,36,11.0,0.0,48.78,14.63,9.76,71.76,0,161168ca,1ca,ca
26,1611680132746ca,0.0,0.0,2017,41,12.2,0.0,52.27,27.27,6.82,69.54,0,161168ca,1ca,ca
27,1611680132746ca,0.0,0.0,2018,38,26.32,0.0,38.98,23.73,8.47,74.29,0,161168ca,1ca,ca
28,1611680132746ca,0.0,0.0,2019,55,23.64,0.0,44.9,34.69,2.04,81.46,0,161168ca,1ca,ca
29,1611680132746ca,0.0,1.0,2021,41,9.76,1.0,45.83,29.17,8.33,83.5,0,161168ca,1ca,ca
30,1611760130062ca,0.0,0.0,2015,420,58.0,0.0,4.01,10.31,16.79,18.11,0,161176ca,1ca,ca
31,1611760130062ca,0.0,0.0,2016,496,57.0,0.0,4.46,9.69,13.95,21.37,0,161176ca,1ca,ca
32,1611760130062ca,0.0,0.0,2017,490,67.76,0.0,3.82,8.73,13.27,16.22,0,161176ca,1ca,ca
33,1611760130062ca,0.0,0.0,2018,526,73.57,0.0,2.77,10.21,11.94,18.94,0,161176ca,1ca,ca
34,1611760130062ca,0.0,0.0,2019,538,70.26,0.0,2.84,8.51,12.35,19.9,0,161176ca,1ca,ca
35,1611760130062ca,0.0,1.0,2021,597,81.74,1.0,2.34,9.19,9.66,16.95,0,161176ca,1ca,ca
36,1611760134270ca,0.0,0.0,2015,474,68.0,0.0,1.56,12.09,17.35,12.73,0,161176ca,1ca,ca
37,1611760134270ca,0.0,0.0,2016,481,70.0,0.0,1.77,9.98,15.3,15.87,0,161176ca,1ca,ca
38,1611760134270ca,0.0,0.0,2017,597,72.19,0.0,1.52,8.54,12.33,11.82,0,161176ca,1ca,ca
39,1611760134270ca,0.0,0.0,2018,496,72.58,0.0,1.27,8.51,10.33,15.14,0,161176ca,1ca,ca
40,1611760134270ca,0.0,0.0,2019,530,73.4,0.0,1.34,9.23,9.06,16.48,0,161176ca,1ca,ca
41,1611760134270ca,0.0,1.0,2021,543,79.93,1.0,1.02,9.39,7.17,14.79,0,161176ca,1ca,ca
42,1611760134452ca,0.0,0.0,2015,312,37.0,0.0,6.99,34.65,20.36,31.63,0,161176ca,1ca,ca
43,1611760134452ca,0.0,0.0,2016,313,39.0,0.0,4.14,35.36,24.31,43.29,0,161176ca,1ca,ca
44,1611760134452ca,0.0,0.0,2017,352,40.91,0.0,3.31,28.81,23.18,37.59,0,161176ca,1ca,ca
45,1611760134452ca,0.0,0.0,2018,280,43.21,0.0,4.88,35.37,15.55,38.29,0,161176ca,1ca,ca
46,1611760134452ca,0.0,0.0,2019,312,42.95,0.0,5.54,40.62,19.38,43.37,0,161176ca,1ca,ca
47,1611760134452ca,0.0,1.0,2021,251,53.39,1.0,3.16,32.76,16.38,41.89,0,161176ca,1ca,ca
48,1611760135244ca,0.0,0.0,2015,527,90.0,0.0,0.0,1.67,5.42,3.27,0,161176ca,1ca,ca
49,1611760135244ca,0.0,0.0,2016,463,91.0,0.0,0.37,1.5,5.61,4.06,0,161176ca,1ca,ca
50,1611760135244ca,0.0,0.0,2017,517,91.3,0.0,0.41,0.82,4.91,3.47,0,161176ca,1ca,ca
51,1611760135244ca,0.0,0.0,2018,476,94.12,0.0,0.0,2.27,4.55,5.71,0,161176ca,1ca,ca
52,1611760135244ca,0.0,0.0,2019,457,93.22,0.0,0.0,1.66,3.11,6.65,0,161176ca,1ca,ca
53,1611760135244ca,0.0,1.0,2021,510,93.73,1.0,0.21,2.87,4.11,7.24,0,161176ca,1ca,ca
54,1611760138693ca,0.0,0.0,2015,351,44.0,0.0,5.5,22.25,29.19,20.84,0,161176ca,1ca,ca
55,1611760138693ca,0.0,0.0,2016,389,53.0,0.0,4.58,20.0,26.88,28.81,0,161176ca,1ca,ca
56,1611760138693ca,0.0,0.0,2017,454,54.41,0.0,2.63,22.76,21.66,22.14,0,161176ca,1ca,ca
57,1611760138693ca,0.0,0.0,2018,437,53.32,0.0,2.95,24.63,20.63,26.5,0,161176ca,1ca,ca
58,1611760138693ca,0.0,0.0,2019,444,56.76,0.0,4.41,19.82,17.18,29.52,0,161176ca,1ca,ca
59,1611760138693ca,0.0,1.0,2021,414,60.87,1.0,4.23,20.72,18.91,27.87,0,161176ca,1ca,ca
60,1611920108670ca,0.0,0.0,2015,115,57.0,0.0,4.17,64.17,4.17,64.84,1,161192ca,1ca,ca
61,1611920108670ca,0.0,0.0,2016,119,55.0,0.0,1.35,77.03,0.68,60.42,1,161192ca,1ca,ca
62,1611920108670ca,0.0,0.0,2017,142,58.45,0.0,6.25,71.53,2.08,59.22,1,161192ca,1ca,ca
63,1611920108670ca,0.0,0.0,2018,141,48.94,0.0,2.04,70.75,2.04,61.37,1,161192ca,1ca,ca
64,1611920108670ca,0.0,0.0,2019,139,40.29,0.0,2.67,60.67,2.67,62.2,1,161192ca,1ca,ca
65,1611920108670ca,0.0,1.0,2021,145,26.21,1.0,2.0,72.0,2.67,55.52,1,161192ca,1ca,ca
66,1612000130393ca,0.0,0.0,2015,14,43.0,0.0,0.0,27.59,58.62,14.29,0,161200ca,1ca,ca
67,1612000130393ca,0.0,0.0,2016,17,0.0,0.0,2.38,33.33,52.38,18.99,0,161200ca,1ca,ca
68,1612000130393ca,0.0,0.0,2017,31,9.68,0.0,6.0,22.0,62.0,22.4,0,161200ca,1ca,ca
69,1612000130393ca,0.0,0.0,2018,45,11.11,0.0,2.78,22.22,63.89,23.53,0,161200ca,1ca,ca
70,1612000130393ca,0.0,0.0,2019,39,17.95,0.0,3.45,41.38,37.93,29.69,0,161200ca,1ca,ca
71,1612000130393ca,0.0909,0.9091,2021,14,42.86,0.9545,0.0,37.5,46.88,20.69,0,161200ca,1ca,ca
72,1612000133397ca,0.0,0.0,2015,451,51.0,0.0,1.46,24.12,58.42,17.18,0,161200ca,1ca,ca
73,1612000133397ca,0.0,0.0,2016,449,58.0,0.0,1.35,24.52,55.21,14.73,0,161200ca,1ca,ca
74,1612000133397ca,0.0,0.0,2017,486,54.73,0.0,1.61,24.11,52.86,15.66,0,161200ca,1ca,ca
75,1612000133397ca,0.0,0.0,2018,527,51.99,0.0,0.0,28.85,52.74,18.93,0,161200ca,1ca,ca
76,1612000133397ca,0.0,0.0,2019,525,49.9,0.0,1.08,26.75,51.71,19.76,0,161200ca,1ca,ca
77,1612000133397ca,0.3636,0.6364,2021,345,48.12,0.8182,1.08,30.88,45.78,19.15,0,161200ca,1ca,ca
78,1612000134536ca,0.0,0.0,2015,378,49.0,0.0,2.18,29.37,52.67,24.13,0,161200ca,1ca,ca
79,1612000134536ca,0.0,0.0,2016,385,45.0,0.0,1.9,31.22,52.32,19.99,0,161200ca,1ca,ca
80,1612000134536ca,0.0,0.0,2017,452,47.79,0.0,2.28,27.33,52.16,20.13,0,161200ca,1ca,ca
81,1612000134536ca,0.0,0.0,2018,413,47.94,0.0,1.88,26.88,51.88,22.77,0,161200ca,1ca,ca
82,1612000134536ca,0.0,0.0,2019,443,41.31,0.0,2.12,29.66,51.06,24.1,0,161200ca,1ca,ca
83,1612000134536ca,0.0909,0.9091,2021,300,59.67,0.9545,0.94,32.0,46.12,22.87,0,161200ca,1ca,ca
84,1612420134668ca,0.0,0.0,2015,823,36.0,0.0,8.7,33.89,5.24,39.76,0,161242ca,1ca,ca
85,1612420134668ca,0.0,0.0,2016,807,43.0,0.0,6.4,34.81,5.58,40.96,0,161242ca,1ca,ca
86,1612420134668ca,0.0,0.0,2017,891,40.4,0.0,6.42,31.42,6.42,45.17,0,161242ca,1ca,ca
87,1612420134668ca,0.0,0.0,2018,806,40.69,0.0,5.51,33.63,5.96,46.11,0,161242ca,1ca,ca
88,1612420134668ca,0.0,0.0,2019,812,43.97,0.0,6.06,33.6,4.46,43.46,0,161242ca,1ca,ca
89,1612420134668ca,0.0,0.9091,2021,672,45.68,1.0,5.13,35.01,6.18,39.05,0,161242ca,1ca,ca
90,1612590100065ca,0.0,0.0,2015,73,44.0,0.0,7.81,70.31,0.0,78.2,1,161259ca,1ca,ca
91,1612590100065ca,0.0,0.0,2016,63,38.0,0.0,7.69,83.33,0.0,76.45,1,161259ca,1ca,ca
92,1612590100065ca,0.0,0.0,2017,78,26.92,0.0,0.0,91.76,0.0,84.68,1,161259ca,1ca,ca
93,1612590100065ca,0.0,0.0,2018,82,36.59,0.0,4.6,95.4,0.0,84.96,1,161259ca,1ca,ca
94,1612590100065ca,0.0,0.0,2019,85,47.06,0.0,4.0,96.0,0.0,85.1,1,161259ca,1ca,ca
95,1612590100065ca,0.0,1.0,2021,83,24.1,1.0,4.26,92.55,0.0,85.48,1,161259ca,1ca,ca
96,1612590108944ca,0.0,0.0,2015,62,53.0,0.0,11.86,81.36,0.0,82.57,1,161259ca,1ca,ca
97,1612590108944ca,0.0,0.0,2016,56,48.0,0.0,3.17,87.3,3.17,81.12,1,161259ca,1ca,ca
98,1612590108944ca,0.0,0.0,2017,59,47.46,0.0,11.43,80.0,7.14,79.12,1,161259ca,1ca,ca
99,1612590108944ca,0.0,0.0,2018,66,36.36,0.0,8.57,85.71,0.0,83.76,1,161259ca,1ca,ca
100,1612590108944ca,0.0,0.0,2019,66,21.21,0.0,8.82,77.94,8.82,80.16,1,161259ca,1ca,ca
101,1612590108944ca,0.0,1.0,2021,72,11.11,1.0,5.0,85.0,5.0,86.76,1,161259ca,1ca,ca
102,1612590111856ca,0.0,0.0,2015,30,70.0,0.0,22.58,22.58,0.0,69.9,1,161259ca,1ca,ca
103,1612590111856ca,0.0,0.0,2016,29,72.0,0.0,12.68,12.68,1.41,85.0,1,161259ca,1ca,ca
104,1612590111856ca,0.0,0.0,2017,72,63.89,0.0,28.79,12.12,1.52,68.02,1,161259ca,1ca,ca
105,1612590111856ca,0.0,0.0,2018,65,43.08,0.0,22.06,16.18,0.0,67.16,1,161259ca,1ca,ca
106,1612590111856ca,0.0,0.0,2019,54,62.96,0.0,21.88,9.38,7.29,70.05,1,161259ca,1ca,ca
107,1612590111856ca,0.0,1.0,2021,126,39.68,1.0,34.07,18.68,5.49,64.32,1,161259ca,1ca,ca
108,1612590112797ca,0.0,0.0,2015,56,27.0,0.0,12.5,85.94,0.0,93.82,0,161259ca,1ca,ca
109,1612590112797ca,0.0,0.0,2016,62,13.0,0.0,11.94,86.57,0.0,95.49,0,161259ca,1ca,ca
110,1612590112797ca,0.0,0.0,2017,66,22.73,0.0,12.12,84.85,0.0,94.37,0,161259ca,1ca,ca
111,1612590112797ca,0.0,0.0,2018,63,26.98,0.0,10.45,82.09,1.49,94.84,0,161259ca,1ca,ca
112,1612590112797ca,0.0,0.0,2019,64,17.19,0.0,14.71,79.41,1.47,93.88,0,161259ca,1ca,ca
113,1612590112797ca,0.0,1.0,2021,63,9.52,1.0,12.31,86.15,0.0,95.43,0,161259ca,1ca,ca
114,1612590114868ca,0.0,0.0,2015,67,72.0,0.0,7.06,48.24,0.0,79.46,1,161259ca,1ca,ca
115,1612590114868ca,0.0,0.0,2016,79,72.0,0.0,4.96,39.67,3.31,83.03,1,161259ca,1ca,ca
116,1612590114868ca,0.0,0.0,2017,115,64.35,0.0,3.12,51.04,2.08,79.29,1,161259ca,1ca,ca
117,1612590114868ca,0.0,0.0,2018,109,59.63,0.0,2.54,47.46,0.85,47.62,1,161259ca,1ca,ca
118,1612590114868ca,0.0,0.0,2019,114,49.12,0.0,4.13,69.42,2.48,82.09,1,161259ca,1ca,ca
119,1612590114868ca,0.0,1.0,2021,94,51.06,1.0,7.89,55.26,2.63,79.55,1,161259ca,1ca,ca
120,1612590115238ca,0.0,0.0,2015,53,6.0,0.0,1.72,94.83,0.0,90.98,1,161259ca,1ca,ca
121,1612590115238ca,0.0,0.0,2016,52,8.0,0.0,2.78,90.28,1.39,93.25,1,161259ca,1ca,ca
122,1612590115238ca,0.0,0.0,2017,66,22.73,0.0,1.49,91.04,0.0,88.85,1,161259ca,1ca,ca
123,1612590115238ca,0.0,0.0,2018,64,17.19,0.0,0.0,92.86,0.0,84.95,1,161259ca,1ca,ca
124,1612590115238ca,0.0,0.0,2019,64,7.81,0.0,1.19,95.24,1.19,72.85,1,161259ca,1ca,ca
125,1612590115238ca,0.0,1.0,2021,79,6.33,1.0,1.94,89.32,0.97,85.41,1,161259ca,1ca,ca
126,1612590118224ca,0.0,0.0,2015,65,12.0,0.0,14.04,85.96,0.0,83.15,1,161259ca,1ca,ca
127,1612590118224ca,0.0,0.0,2016,48,25.0,0.0,8.11,90.54,0.0,88.71,1,161259ca,1ca,ca
128,1612590118224ca,0.0,0.0,2017,73,28.77,0.0,12.33,86.3,0.0,91.33,1,161259ca,1ca,ca
129,1612590118224ca,0.0,0.0,2018,68,33.82,0.0,11.49,87.36,0.0,90.2,1,161259ca,1ca,ca
130,1612590118224ca,0.0,0.0,2019,82,23.17,0.0,10.0,88.75,0.0,88.89,1,161259ca,1ca,ca
131,1612590118224ca,0.0,1.0,2021,51,21.57,1.0,14.1,84.62,0.0,80.64,1,161259ca,1ca,ca
132,1612590126748ca,0.0,0.0,2015,80,18.0,0.0,10.0,86.67,0.0,92.83,1,161259ca,1ca,ca
133,1612590126748ca,0.0,0.0,2016,57,21.0,0.0,3.03,84.85,0.0,93.58,1,161259ca,1ca,ca
134,1612590126748ca,0.0,0.0,2017,60,26.67,0.0,5.36,93.75,0.0,90.59,1,161259ca,1ca,ca
135,1612590126748ca,0.0,0.0,2018,104,5.77,0.0,8.33,87.96,0.0,92.23,1,161259ca,1ca,ca
136,1612590126748ca,0.0,0.0,2019,100,11.0,0.0,7.63,88.98,0.0,96.65,1,161259ca,1ca,ca
137,1612590126748ca,0.0,1.0,2021,105,16.19,1.0,3.82,95.42,0.76,92.81,1,161259ca,1ca,ca
138,1612590130575ca,0.0,0.0,2015,66,12.0,0.0,7.46,88.06,0.0,85.68,0,161259ca,1ca,ca
139,1612590130575ca,0.0,0.0,2016,62,24.0,0.0,5.8,88.41,0.0,94.16,0,161259ca,1ca,ca
140,1612590130575ca,0.0,0.0,2017,68,10.29,0.0,1.54,83.08,1.54,91.09,0,161259ca,1ca,ca
141,1612590130575ca,0.0,0.0,2018,64,35.94,0.0,3.03,84.85,0.0,92.12,0,161259ca,1ca,ca
142,1612590130575ca,0.0,0.0,2019,62,16.13,0.0,6.67,83.33,0.0,90.83,0,161259ca,1ca,ca
143,1612590130575ca,0.0,1.0,2021,44,31.82,1.0,4.69,92.19,0.0,90.15,0,161259ca,1ca,ca
144,1612590130666ca,0.0,0.0,2015,82,26.0,0.0,1.2,97.59,0.0,95.86,1,161259ca,1ca,ca
145,1612590130666ca,0.0,0.0,2016,82,38.0,0.0,0.0,96.23,0.0,91.86,1,161259ca,1ca,ca
146,1612590130666ca,0.0,0.0,2017,52,53.85,0.0,3.64,94.55,0.0,92.48,1,161259ca,1ca,ca
147,1612590130666ca,0.0,0.0,2018,53,54.72,0.0,2.86,97.14,0.0,90.66,1,161259ca,1ca,ca
148,1612590130666ca,0.0,0.0,2019,61,54.1,0.0,1.32,93.42,0.0,83.52,1,161259ca,1ca,ca
149,1612590130666ca,0.0,1.0,2021,50,22.0,1.0,1.25,96.25,0.0,85.63,1,161259ca,1ca,ca
150,1612750136515ca,0.0,0.0,2015,150,82.0,0.0,0.98,4.9,68.63,0.67,0,161275ca,1ca,ca
151,1612750136515ca,0.0,0.0,2016,190,87.0,0.0,2.09,3.14,63.35,1.14,0,161275ca,1ca,ca
152,1612750136515ca,0.0,0.0,2017,178,73.6,0.0,1.44,5.77,59.62,1.27,0,161275ca,1ca,ca
153,1612750136515ca,0.0,0.0,2018,192,76.56,0.0,1.63,5.98,61.41,1.14,0,161275ca,1ca,ca
154,1612750136515ca,0.0,0.0,2019,172,81.98,0.0,1.4,7.44,64.19,1.19,0,161275ca,1ca,ca
155,1612750136515ca,0.0,1.0,2021,126,86.51,1.0,1.06,10.11,62.23,1.72,0,161275ca,1ca,ca
156,1613090114421ca,0.0,0.0,2015,120,40.0,0.0,16.91,52.94,8.09,71.43,1,161309ca,1ca,ca
157,1613090114421ca,0.0,0.0,2016,124,49.0,0.0,14.93,44.78,5.22,68.58,1,161309ca,1ca,ca
158,1613090114421ca,0.0,0.0,2017,119,53.78,0.0,23.33,46.0,6.0,62.52,1,161309ca,1ca,ca
159,1613090114421ca,0.0,0.0,2018,141,55.32,0.0,11.95,54.09,3.77,65.02,1,161309ca,1ca,ca
160,1613090114421ca,0.0,0.0,2019,153,51.63,0.0,9.94,52.63,9.36,62.16,1,161309ca,1ca,ca
161,1613090114421ca,0.0,1.0,2021,145,49.66,1.0,8.19,48.54,8.19,70.41,1,161309ca,1ca,ca
162,3739810330753ca,0.0,0.0,2015,118,37.0,0.0,0.68,16.33,70.07,34.38,0,373981ca,3ca,ca
163,3739810330753ca,0.0,0.0,2016,141,44.0,0.0,0.0,18.47,71.34,39.08,0,373981ca,3ca,ca
164,3739810330753ca,0.0,0.0,2017,149,34.9,0.0,0.0,17.26,67.86,34.16,0,373981ca,3ca,ca
165,3739810330753ca,0.0,0.0,2018,156,29.49,0.0,1.08,18.92,72.97,40.94,0,373981ca,3ca,ca
166,3739810330753ca,0.0,0.0,2019,173,31.21,0.0,0.0,20.12,68.9,35.76,0,373981ca,3ca,ca
167,3739810330753ca,0.6364,0.3636,2021,102,17.65,0.6818,1.1,21.43,67.58,29.9,0,373981ca,3ca,ca
168,3739810334755ca,0.0,0.0,2015,83,11.0,0.0,0.74,22.22,68.15,32.57,0,373981ca,3ca,ca
169,3739810334755ca,0.0,0.0,2016,118,19.0,0.0,0.7,25.35,64.08,37.4,0,373981ca,3ca,ca
170,3739810334755ca,0.0,0.0,2017,126,34.13,0.0,0.0,27.36,57.55,35.26,0,373981ca,3ca,ca
171,3739810334755ca,0.0,0.0,2018,88,26.14,0.0,1.0,27.0,61.0,39.39,0,373981ca,3ca,ca
172,3739810334755ca,0.0,0.0,2019,93,31.18,0.0,1.54,26.15,66.15,35.79,0,373981ca,3ca,ca
173,3739810334755ca,0.6364,0.3636,2021,122,21.31,0.6818,1.69,22.88,63.56,36.31,0,373981ca,3ca,ca
174,4100410114991ca,0.0,0.0,2015,57,26.0,0.0,2.0,7.0,79.0,40.28,1,410041ca,4ca,ca
175,4100410114991ca,0.0,0.0,2016,106,33.0,0.0,1.09,7.61,79.35,42.32,1,410041ca,4ca,ca
176,4100410114991ca,0.0,0.0,2017,86,31.4,0.0,0.0,21.3,67.59,41.69,1,410041ca,4ca,ca
177,4100410114991ca,0.0,0.0,2018,103,31.07,0.0,0.0,17.02,73.4,48.78,1,410041ca,4ca,ca
178,4100410114991ca,0.0,0.0,2019,92,28.26,0.0,0.9,16.22,72.97,43.39,1,410041ca,4ca,ca
179,4100410114991ca,0.0,0.1818,2021,107,35.51,0.2727,0.0,19.35,72.04,43.85,1,410041ca,4ca,ca
180,4614080430827ca,0.0,0.0,2015,26,12.0,0.0,5.71,37.14,45.71,23.08,0,461408ca,4ca,ca
181,4614080430827ca,0.0,0.0,2016,27,22.0,0.0,0.0,37.25,56.86,57.93,0,461408ca,4ca,ca
182,4614080430827ca,0.0,0.0,2017,46,10.87,0.0,3.51,24.56,59.65,58.24,0,461408ca,4ca,ca
183,4614080430827ca,0.0,0.0,2018,53,16.98,0.0,3.51,36.84,56.14,57.28,0,461408ca,4ca,ca
184,4614080430827ca,0.0,0.0,2019,51,11.76,0.0,1.89,50.94,43.4,64.35,0,461408ca,4ca,ca
185,4614080430827ca,0.0,0.1818,2021,47,4.26,0.2727,5.41,32.43,59.46,63.54,0,461408ca,4ca,ca
186,4614240120394ca,0.0,0.0,2015,97,48.0,0.0,0.0,16.67,72.55,33.03,1,461424ca,4ca,ca
187,4614240120394ca,0.0,0.0,2016,94,47.0,0.0,0.93,12.15,72.9,25.45,1,461424ca,4ca,ca
188,4614240120394ca,0.0,0.0,2017,99,39.39,0.0,1.94,9.71,70.87,27.31,1,461424ca,4ca,ca
189,4614240120394ca,0.0,0.0,2018,91,46.15,0.0,1.9,11.43,72.38,40.94,1,461424ca,4ca,ca
190,4614240120394ca,0.0,0.0,2019,98,39.8,0.0,1.83,15.6,70.64,33.41,1,461424ca,4ca,ca
191,4614240120394ca,0.0,0.1818,2021,85,37.65,0.2727,0.94,16.04,71.7,35.99,1,461424ca,4ca,ca
192,4614240430199ca,0.0,0.0,2015,21,0.0,0.0,3.85,38.46,53.85,63.77,0,461424ca,4ca,ca
193,4614240430199ca,0.0,0.0,2016,35,0.0,0.0,0.0,33.33,59.26,63.11,0,461424ca,4ca,ca
194,4614240430199ca,0.0,0.0,2017,19,5.26,0.0,6.25,31.25,62.5,69.89,0,461424ca,4ca,ca
195,4614240430199ca,0.0,0.0,2018,20,5.0,0.0,0.0,43.48,39.13,81.4,0,461424ca,4ca,ca
196,4614240430199ca,0.0,0.0,2019,25,4.0,0.0,0.0,29.41,55.88,70.15,0,461424ca,4ca,ca
197,4614240430199ca,0.0,0.9091,2021,54,18.52,1.0,0.0,22.73,54.55,56.28,0,461424ca,4ca,ca
198,4614240431676ca,0.0,0.0,2015,393,44.0,0.0,5.15,26.46,57.14,36.59,0,461424ca,4ca,ca
199,4614240431676ca,0.0,0.0,2016,395,47.0,0.0,3.99,24.17,58.54,33.54,0,461424ca,4ca,ca
200,4614240431676ca,0.0,0.0,2017,423,43.97,0.0,2.62,25.98,60.04,33.91,0,461424ca,4ca,ca
201,4614240431676ca,0.0,0.0,2018,423,44.92,0.0,3.8,23.49,59.06,41.04,0,461424ca,4ca,ca
202,4614240431676ca,0.0,0.0,2019,414,41.06,0.0,3.66,22.2,61.71,40.13,0,461424ca,4ca,ca
203,4614240431676ca,0.0,0.1818,2021,328,39.63,0.2727,2.63,26.08,56.46,41.59,0,461424ca,4ca,ca
204,4614240437558ca,0.0,0.0,2015,374,38.0,0.0,1.72,19.61,66.42,31.59,0,461424ca,4ca,ca
205,4614240437558ca,0.0,0.0,2016,389,47.0,0.0,2.52,18.58,62.84,32.97,0,461424ca,4ca,ca
206,4614240437558ca,0.0,0.0,2017,406,51.72,0.0,1.51,20.26,63.58,32.2,0,461424ca,4ca,ca
207,4614240437558ca,0.0,0.0,2018,434,49.54,0.0,2.88,19.03,61.73,37.49,0,461424ca,4ca,ca
208,4614240437558ca,0.0,0.0,2019,428,48.6,0.0,2.13,17.87,65.11,36.11,0,461424ca,4ca,ca
209,4614240437558ca,0.0,0.1818,2021,363,54.82,0.2727,2.15,23.15,60.62,32.9,0,461424ca,4ca,ca
