,year,schoolcode,dropout,districtcode,countycode,lowincome,white,black,hispanic,state,totalenrolled,schoolmode,virtualper,schoolmode,hybridper,charter
0,2017,10100010034nyc,17.0,101000nyc,101nyc,55,20,53,15,nyc,2451,0.0,0.0,0.0,0.0,0
1,2018,10100010034nyc,18.0,101000nyc,101nyc,64,22,51,15,nyc,2548,0.0,0.0,0.0,0.0,0
2,2019,10100010034nyc,17.0,101000nyc,101nyc,66,22,50,15,nyc,2470,0.0,0.0,0.0,0.0,0
3,2021,10100010034nyc,6.0,101000nyc,101nyc,66,20,51,17,nyc,2524,0.48,0.04,0.48,0.88,0
5,2017,10201040001nyc,3.0,102010nyc,102nyc,37,97,1,1,nyc,260,0.0,0.0,0.0,0.0,0
6,2018,10201040001nyc,1.0,102010nyc,102nyc,37,97,1,1,nyc,250,0.0,0.0,0.0,0.0,0
7,2019,10201040001nyc,5.0,102010nyc,102nyc,39,94,1,2,nyc,225,0.0,0.0,0.0,0.0,0
8,2021,10201040001nyc,10.0,102010nyc,102nyc,39,94,1,2,nyc,217,0.46,0.0,0.46,0.92,0
10,2017,10306060008nyc,3.0,103060nyc,103nyc,13,86,3,4,nyc,1612,0.0,0.0,0.0,0.0,0
11,2018,10306060008nyc,3.0,103060nyc,103nyc,13,86,3,4,nyc,1587,0.0,0.0,0.0,0.0,0
12,2019,10306060008nyc,2.0,103060nyc,103nyc,13,85,3,4,nyc,1539,0.0,0.0,0.0,0.0,0
13,2021,10306060008nyc,3.0,103060nyc,103nyc,14,84,3,4,nyc,1426,0.48,0.04,0.48,0.88,0
15,2017,10402060001nyc,4.0,104020nyc,104nyc,42,86,5,6,nyc,539,0.0,0.0,0.0,0.0,0
16,2018,10402060001nyc,6.0,104020nyc,104nyc,42,84,5,6,nyc,556,0.0,0.0,0.0,0.0,0
17,2019,10402060001nyc,6.0,104020nyc,104nyc,43,84,5,6,nyc,557,0.0,0.0,0.0,0.0,0
18,2021,10402060001nyc,7.0,104020nyc,104nyc,42,81,4,8,nyc,537,0.46,0.0,0.46,0.92,0
20,2017,10500010007nyc,13.0,105000nyc,105nyc,64,79,10,6,nyc,516,0.0,0.0,0.0,0.0,0
21,2018,10500010007nyc,11.0,105000nyc,105nyc,67,76,11,8,nyc,534,0.0,0.0,0.0,0.0,0
22,2019,10500010007nyc,10.0,105000nyc,105nyc,68,76,10,6,nyc,524,0.0,0.0,0.0,0.0,0
23,2021,10500010007nyc,13.0,105000nyc,105nyc,68,72,12,8,nyc,534,0.46,0.0,0.46,0.92,0
25,2017,10601060008nyc,3.0,106010nyc,106nyc,29,69,8,8,nyc,1541,0.0,0.0,0.0,0.0,0
26,2018,10601060008nyc,3.0,106010nyc,106nyc,37,68,9,8,nyc,1509,0.0,0.0,0.0,0.0,0
27,2019,10601060008nyc,1.0,106010nyc,106nyc,37,67,9,8,nyc,1490,0.0,0.0,0.0,0.0,0
28,2021,10601060008nyc,3.0,106010nyc,106nyc,36,63,9,9,nyc,1500,0.46,0.0,0.46,0.92,0
30,2017,10623060010nyc,2.0,106230nyc,106nyc,21,70,6,5,nyc,1918,0.0,0.0,0.0,0.0,0
31,2018,10623060010nyc,2.0,106230nyc,106nyc,24,68,7,5,nyc,1967,0.0,0.0,0.0,0.0,0
32,2019,10623060010nyc,2.0,106230nyc,106nyc,26,67,8,6,nyc,1979,0.0,0.0,0.0,0.0,0
33,2021,10623060010nyc,1.0,106230nyc,106nyc,28,62,9,6,nyc,1970,0.4,0.04,0.4,0.72,0
35,2017,10701030001nyc,0.0,107010nyc,107nyc,70,84,5,4,nyc,82,0.0,0.0,0.0,0.0,0
36,2018,10701030001nyc,40.0,107010nyc,107nyc,65,85,5,3,nyc,82,0.0,0.0,0.0,0.0,0
37,2019,10701030001nyc,11.0,107010nyc,107nyc,59,84,6,3,nyc,82,0.0,0.0,0.0,0.0,0
38,2021,10701030001nyc,7.0,107010nyc,107nyc,64,76,8,2,nyc,73,0.46,0.0,0.46,0.92,0
40,2017,10802060005nyc,1.0,108020nyc,108nyc,17,79,4,3,nyc,1550,0.0,0.0,0.0,0.0,0
