,schoolcode,districtcode,countycode,year,charter,elapass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,state
0,100501040003,10050104nyc,10nyc,2017,0.0,85,0.0,0.0,0.0,115,51.3043,82.6087,2.6087,11.3043,nyc
1,100501040003,10050104nyc,10nyc,2018,0.0,76,0.0,0.0,0.0,107,61.6822,77.5701,1.8692,16.8224,nyc
2,100501040003,10050104nyc,10nyc,2019,0.0,83,0.0,0.0,0.0,95,54.7368,85.2632,1.0526,11.5789,nyc
3,100501040003,10050104nyc,10nyc,2021,0.0,94,0.0,0.0,0.0,81,34.5679,76.5432,0.0,16.0494,nyc
4,100902040004,10090204nyc,10nyc,2017,0.0,97,0.0,0.0,0.0,26,42.3077,96.1538,0.0,3.8462,nyc
5,100902040004,10090204nyc,10nyc,2018,0.0,90,0.0,0.0,0.0,39,33.3333,84.6154,0.0,5.1282,nyc
6,100902040004,10090204nyc,10nyc,2019,0.0,86,0.0,0.0,0.0,43,48.8372,81.3953,0.0,6.9767,nyc
7,100902040004,10090204nyc,10nyc,2021,0.0,79,0.0,0.0,0.0,14,42.8571,85.7143,0.0,14.2857,nyc
8,10100010034,1010001nyc,1nyc,2017,0.0,79,0.0,0.0,0.0,586,51.1945,21.1604,48.8055,17.7474,nyc
9,10100010034,1010001nyc,1nyc,2018,0.0,79,0.0,0.0,0.0,611,60.7201,22.0949,49.5908,15.3846,nyc
10,10100010034,1010001nyc,1nyc,2019,0.0,85,0.0,0.0,0.0,666,64.8649,23.1231,49.0991,15.1652,nyc
11,10100010034,1010001nyc,1nyc,2021,0.0,98,0.48,0.04,0.88,66,37.8788,43.9394,27.2727,9.0909,nyc
12,101001040002,10100104nyc,10nyc,2017,0.0,97,0.0,0.0,0.0,96,45.8333,82.2917,2.0833,5.2083,nyc
13,101001040002,10100104nyc,10nyc,2018,0.0,92,0.0,0.0,0.0,91,34.0659,86.8132,5.4945,3.2967,nyc
14,101001040002,10100104nyc,10nyc,2019,0.0,93,0.0,0.0,0.0,70,28.5714,85.7143,1.4286,7.1429,nyc
15,101001040002,10100104nyc,10nyc,2021,0.0,100,0.5,0.08,0.84,19,42.1053,78.9474,10.5263,5.2632,nyc
16,101300010001,10130001nyc,10nyc,2017,0.0,84,0.0,0.0,0.0,142,60.5634,38.7324,22.5352,20.4225,nyc
17,101300010001,10130001nyc,10nyc,2018,0.0,66,0.0,0.0,0.0,109,60.5505,41.2844,30.2752,9.1743,nyc
18,101300010001,10130001nyc,10nyc,2019,0.0,85,0.0,0.0,0.0,128,71.0938,35.1562,28.9062,11.7188,nyc
19,101300010001,10130001nyc,10nyc,2021,0.0,83,0.46,0.0,0.92,6,33.3333,100.0,0.0,0.0,nyc
20,101401040005,10140104nyc,10nyc,2017,0.0,90,0.0,0.0,0.0,141,33.3333,93.617,2.1277,3.5461,nyc
21,101401040005,10140104nyc,10nyc,2018,0.0,92,0.0,0.0,0.0,148,31.0811,91.8919,0.6757,4.0541,nyc
22,101401040005,10140104nyc,10nyc,2019,0.0,94,0.0,0.0,0.0,137,22.6277,88.3212,4.3796,5.8394,nyc
23,101401040005,10140104nyc,10nyc,2021,0.0,100,0.5,0.08,0.84,22,9.0909,81.8182,9.0909,0.0,nyc
27,10201040001,1020104nyc,1nyc,2017,0.0,97,0.0,0.0,0.0,73,38.3562,100.0,0.0,0.0,nyc
28,10201040001,1020104nyc,1nyc,2018,0.0,84,0.0,0.0,0.0,57,24.5614,98.2456,0.0,0.0,nyc
29,10201040001,1020104nyc,1nyc,2019,0.0,89,0.0,0.0,0.0,76,40.7895,90.7895,2.6316,3.9474,nyc
30,10201040001,1020104nyc,1nyc,2021,0.0,89,0.46,0.0,0.92,27,22.2222,96.2963,0.0,0.0,nyc
31,10306060008,1030606nyc,1nyc,2017,0.0,97,0.0,0.0,0.0,422,12.5592,86.4929,2.3697,3.5545,nyc
32,10306060008,1030606nyc,1nyc,2018,0.0,96,0.0,0.0,0.0,395,10.6329,85.0633,3.7975,3.038,nyc
33,10306060008,1030606nyc,1nyc,2019,0.0,99,0.0,0.0,0.0,404,11.6337,84.6535,2.9703,4.9505,nyc
34,10306060008,1030606nyc,1nyc,2021,0.0,0,0.48,0.04,0.88,2,0.0,100.0,0.0,0.0,nyc
35,10402060001,1040206nyc,1nyc,2017,0.0,91,0.0,0.0,0.0,145,47.5862,79.3103,5.5172,10.3448,nyc
36,10402060001,1040206nyc,1nyc,2018,0.0,83,0.0,0.0,0.0,149,37.5839,82.5503,6.0403,8.7248,nyc
37,10402060001,1040206nyc,1nyc,2019,0.0,81,0.0,0.0,0.0,137,38.6861,85.4015,5.8394,6.5693,nyc
38,10402060001,1040206nyc,1nyc,2021,0.0,100,0.46,0.0,0.92,5,60.0,60.0,0.0,20.0,nyc
39,10500010007,1050001nyc,1nyc,2017,0.0,79,0.0,0.0,0.0,118,64.4068,72.8814,11.8644,8.4746,nyc
40,10500010007,1050001nyc,1nyc,2018,0.0,63,0.0,0.0,0.0,134,68.6567,74.6269,13.4328,6.7164,nyc
41,10500010007,1050001nyc,1nyc,2019,0.0,89,0.0,0.0,0.0,163,60.7362,76.0736,11.6564,8.589,nyc
42,10500010007,1050001nyc,1nyc,2021,0.0,91,0.46,0.0,0.92,54,57.4074,77.7778,9.2593,5.5556,nyc
43,10601060008,1060106nyc,1nyc,2017,0.0,90,0.0,0.0,0.0,415,27.9518,67.9518,8.6747,7.4699,nyc
44,10601060008,1060106nyc,1nyc,2018,0.0,85,0.0,0.0,0.0,393,38.9313,66.4122,8.9059,8.1425,nyc
45,10601060008,1060106nyc,1nyc,2019,0.0,91,0.0,0.0,0.0,409,36.6748,65.5257,10.0244,7.5795,nyc
46,10601060008,1060106nyc,1nyc,2021,0.0,88,0.46,0.0,0.92,16,18.75,81.25,0.0,6.25,nyc
47,10623060010,1062306nyc,1nyc,2017,0.0,96,0.0,0.0,0.0,515,21.165,67.9612,6.4078,5.0485,nyc
48,10623060010,1062306nyc,1nyc,2018,0.0,96,0.0,0.0,0.0,507,22.6824,66.075,7.4951,6.1144,nyc
49,10623060010,1062306nyc,1nyc,2019,0.0,98,0.0,0.0,0.0,508,24.4094,64.7638,8.8583,6.2992,nyc
50,10623060010,1062306nyc,1nyc,2021,0.0,98,0.4,0.04,0.72,57,19.2982,63.1579,8.7719,0.0,nyc
51,10701030001,1070103nyc,1nyc,2017,0.0,75,0.0,0.0,0.0,12,58.3333,75.0,0.0,8.3333,nyc
52,10701030001,1070103nyc,1nyc,2018,0.0,80,0.0,0.0,0.0,20,50.0,85.0,5.0,0.0,nyc
53,10701030001,1070103nyc,1nyc,2019,0.0,62,0.0,0.0,0.0,21,66.6667,76.1905,19.0476,4.7619,nyc
54,10701030001,1070103nyc,1nyc,2021,0.0,64,0.46,0.0,0.92,14,35.7143,85.7143,7.1429,0.0,nyc
55,10802060005,1080206nyc,1nyc,2017,0.0,96,0.0,0.0,0.0,410,13.9024,75.8537,4.878,3.4146,nyc
56,10802060005,1080206nyc,1nyc,2018,0.0,90,0.0,0.0,0.0,359,16.156,80.2228,3.8997,4.1783,nyc
57,10802060005,1080206nyc,1nyc,2019,0.0,93,0.0,0.0,0.0,375,18.6667,73.0667,5.0667,4.5333,nyc
58,10802060005,1080206nyc,1nyc,2021,0.0,97,0.5,0.08,0.84,92,15.2174,73.913,1.087,0.0,nyc
59,11003060002,1100306nyc,1nyc,2017,0.0,94,0.0,0.0,0.0,109,7.3394,88.9908,2.7523,1.8349,nyc
60,11003060002,1100306nyc,1nyc,2018,0.0,90,0.0,0.0,0.0,103,10.6796,93.2039,0.0,0.9709,nyc
61,11003060002,1100306nyc,1nyc,2019,0.0,93,0.0,0.0,0.0,107,7.4766,92.5234,1.8692,0.0,nyc
62,11003060002,1100306nyc,1nyc,2021,0.0,100,0.46,0.0,0.92,25,8.0,88.0,0.0,0.0,nyc
63,110101040002,11010104nyc,11nyc,2017,0.0,90,0.0,0.0,0.0,44,47.7273,95.4545,0.0,2.2727,nyc
64,110101040002,11010104nyc,11nyc,2018,0.0,93,0.0,0.0,0.0,30,33.3333,100.0,0.0,0.0,nyc
65,110101040002,11010104nyc,11nyc,2019,0.0,85,0.0,0.0,0.0,33,45.4545,100.0,0.0,0.0,nyc
66,110101040002,11010104nyc,11nyc,2021,0.0,88,0.0,0.0,0.0,17,35.2941,100.0,0.0,0.0,nyc
67,110200010011,11020001nyc,11nyc,2017,0.0,80,0.0,0.0,0.0,347,46.9741,88.1844,3.4582,3.4582,nyc
68,110200010011,11020001nyc,11nyc,2018,0.0,76,0.0,0.0,0.0,196,48.9796,90.8163,3.0612,2.0408,nyc
69,110200010011,11020001nyc,11nyc,2019,0.0,83,0.0,0.0,0.0,193,51.8135,88.601,4.1451,3.6269,nyc
70,110200010011,11020001nyc,11nyc,2021,0.0,85,0.04,0.04,0.0,27,25.9259,77.7778,0.0,3.7037,nyc
71,110304040002,11030404nyc,11nyc,2017,0.0,82,0.0,0.0,0.0,38,57.8947,92.1053,2.6316,0.0,nyc
72,110304040002,11030404nyc,11nyc,2018,0.0,76,0.0,0.0,0.0,42,42.8571,100.0,0.0,0.0,nyc
73,110304040002,11030404nyc,11nyc,2019,0.0,79,0.0,0.0,0.0,38,52.6316,97.3684,0.0,0.0,nyc
74,110304040002,11030404nyc,11nyc,2021,0.0,85,0.0,0.0,0.0,39,41.0256,94.8718,0.0,2.5641,nyc
75,110701060001,11070106nyc,11nyc,2017,0.0,95,0.0,0.0,0.0,153,27.451,98.0392,0.6536,0.0,nyc
76,110701060001,11070106nyc,11nyc,2018,0.0,82,0.0,0.0,0.0,154,37.013,95.4545,1.9481,0.6494,nyc
77,110701060001,11070106nyc,11nyc,2019,0.0,89,0.0,0.0,0.0,161,41.6149,93.1677,0.6211,0.6211,nyc
78,110701060001,11070106nyc,11nyc,2021,0.0,89,0.3,0.0,0.6,19,42.1053,78.9474,0.0,10.5263,nyc
79,110901040001,11090104nyc,11nyc,2017,0.0,93,0.0,0.0,0.0,49,48.9796,93.8776,6.1224,0.0,nyc
80,110901040001,11090104nyc,11nyc,2018,0.0,89,0.0,0.0,0.0,47,48.9362,93.617,6.383,0.0,nyc
81,110901040001,11090104nyc,11nyc,2019,0.0,90,0.0,0.0,0.0,63,57.1429,95.2381,0.0,3.1746,nyc
82,110901040001,11090104nyc,11nyc,2021,0.0,81,0.26,0.0,0.52,47,48.9362,95.7447,2.1277,2.1277,nyc
86,120102040001,12010204nyc,12nyc,2017,0.0,92,0.0,0.0,0.0,12,50.0,100.0,0.0,0.0,nyc
87,120102040001,12010204nyc,12nyc,2018,0.0,80,0.0,0.0,0.0,5,80.0,100.0,0.0,0.0,nyc
88,120102040001,12010204nyc,12nyc,2019,0.0,80,0.0,0.0,0.0,10,60.0,90.0,0.0,0.0,nyc
89,120102040001,12010204nyc,12nyc,2021,0.0,0,0.0,0.0,0.0,3,33.3333,100.0,0.0,0.0,nyc
90,120301040001,12030104nyc,12nyc,2017,0.0,96,0.0,0.0,0.0,29,65.5172,96.5517,0.0,3.4483,nyc
91,120301040001,12030104nyc,12nyc,2018,0.0,89,0.0,0.0,0.0,18,72.2222,94.4444,0.0,5.5556,nyc
92,120301040001,12030104nyc,12nyc,2019,0.0,100,0.0,0.0,0.0,14,50.0,92.8571,0.0,7.1429,nyc
93,120301040001,12030104nyc,12nyc,2021,0.0,92,0.08,0.08,0.0,12,25.0,83.3333,16.6667,0.0,nyc
94,120401040001,12040104nyc,12nyc,2017,0.0,93,0.0,0.0,0.0,30,53.3333,96.6667,3.3333,0.0,nyc
95,120401040001,12040104nyc,12nyc,2018,0.0,57,0.0,0.0,0.0,21,42.8571,95.2381,0.0,0.0,nyc
96,120401040001,12040104nyc,12nyc,2019,0.0,83,0.0,0.0,0.0,30,40.0,96.6667,0.0,3.3333,nyc
97,120401040001,12040104nyc,12nyc,2021,0.0,71,0.08,0.08,0.0,14,42.8571,100.0,0.0,0.0,nyc
98,120501040002,12050104nyc,12nyc,2017,0.0,96,0.0,0.0,0.0,63,26.9841,92.0635,3.1746,0.0,nyc
99,120501040002,12050104nyc,12nyc,2018,0.0,94,0.0,0.0,0.0,49,32.6531,93.8776,0.0,0.0,nyc
100,120501040002,12050104nyc,12nyc,2019,0.0,98,0.0,0.0,0.0,52,32.6923,96.1538,0.0,0.0,nyc
