,schoolcode,districtcode,countycode,year,charter,dropout,schoolmode,virtualper,hybridper,totalenrolled,lowincome,white,black,hispanic,state
8,005902001tx,005902tx,005tx,2017,0.0,0,0.0,0.0,0.0,311,18.9711,89.3891,0.6431,8.0386,tx
12,011901005tx,011901tx,011tx,2017,0.0,0,0.0,0.0,0.0,171,60.2339,25.1462,3.5088,67.8363,tx
13,011905001tx,011905tx,011tx,2017,0.0,0,0.0,0.0,0.0,30,66.6667,40.0,0.0,60.0,tx
16,014803004tx,014803tx,014tx,2017,0.0,0,0.0,0.0,0.0,68,27.9412,69.1176,1.4706,25.0,tx
17,014803101tx,014803tx,014tx,2017,0.0,0,0.0,0.0,0.0,64,43.75,57.8125,9.375,28.125,tx
18,014804006tx,014804tx,014tx,2017,0.0,0,0.0,0.0,0.0,332,5.4217,68.6747,4.2169,19.5783,tx
21,014905001tx,014905tx,014tx,2017,0.0,0,0.0,0.0,0.0,238,42.0168,66.8067,3.3613,29.8319,tx
22,014906004tx,014906tx,014tx,2017,0.0,0,0.0,0.0,0.0,354,91.5254,9.6045,66.1017,16.9492,tx
25,014909005tx,014909tx,014tx,2017,0.0,0,0.0,0.0,0.0,78,79.4872,17.9487,56.4103,23.0769,tx
26,014910001tx,014910tx,014tx,2017,0.0,0,0.0,0.0,0.0,469,42.6439,71.0021,1.2793,25.7996,tx
27,015802001tx,015802tx,015tx,2017,0.0,0,0.0,0.0,0.0,143,96.5035,3.4965,53.1469,39.1608,tx
28,015802004tx,015802tx,015tx,2017,0.0,0,0.0,0.0,0.0,18,94.4444,0.0,66.6667,33.3333,tx
29,015805001tx,015805tx,015tx,2017,0.0,0,0.0,0.0,0.0,222,71.6216,3.1532,0.4505,95.4955,tx
31,015815041tx,015815tx,015tx,2017,0.0,0,0.0,0.0,0.0,133,66.9173,6.7669,0.7519,90.9774,tx
37,015831002tx,015831tx,015tx,2017,0.0,0,0.0,0.0,0.0,105,44.7619,20.0,7.619,67.619,tx
38,015834001tx,015834tx,015tx,2017,0.0,0,0.0,0.0,0.0,134,5.9701,23.8806,1.4925,38.806,tx
40,015835002tx,015835tx,015tx,2017,0.0,0,0.0,0.0,0.0,132,22.7273,46.2121,1.5152,49.2424,tx
42,015906001tx,015906tx,015tx,2017,0.0,0,0.0,0.0,0.0,478,5.6485,40.1674,19.2469,24.477,tx
44,015907022tx,015907tx,015tx,2017,0.0,0,0.0,0.0,0.0,444,68.6937,4.2793,2.027,93.6937,tx
45,015907023tx,015907tx,015tx,2017,0.0,0,0.0,0.0,0.0,195,50.2564,1.5385,4.1026,91.7949,tx
46,015907026tx,015907tx,015tx,2017,0.0,0,0.0,0.0,0.0,34,47.0588,5.8824,2.9412,91.1765,tx
47,015909006tx,015909tx,015tx,2017,0.0,0,0.0,0.0,0.0,82,75.6098,23.1707,0.0,71.9512,tx
48,015910009tx,015910tx,015tx,2017,0.0,0,0.0,0.0,0.0,499,26.4529,32.4649,3.8076,56.3126,tx
49,015910012tx,015910tx,015tx,2017,0.0,0,0.0,0.0,0.0,575,61.5652,21.2174,13.2174,60.5217,tx
52,015911003tx,015911tx,015tx,2017,0.0,0,0.0,0.0,0.0,62,79.0323,11.2903,9.6774,77.4194,tx
55,015915006tx,015915tx,015tx,2017,0.0,0,0.0,0.0,0.0,867,28.489,20.0692,5.1903,52.2491,tx
56,015915008tx,015915tx,015tx,2017,0.0,0,0.0,0.0,0.0,721,69.9029,12.0666,13.4535,71.1512,tx
62,017901001tx,017901tx,017tx,2017,0.0,0,0.0,0.0,0.0,80,23.75,73.75,2.5,17.5,tx
63,018901001tx,018901tx,018tx,2017,0.0,0,0.0,0.0,0.0,335,40.2985,62.6866,2.3881,29.2537,tx
65,018903001tx,018903tx,018tx,2017,0.0,0,0.0,0.0,0.0,40,87.5,37.5,5.0,57.5,tx
66,018904001tx,018904tx,018tx,2017,0.0,0,0.0,0.0,0.0,226,51.3274,65.4867,3.0973,30.531,tx
67,018905003tx,018905tx,018tx,2017,0.0,0,0.0,0.0,0.0,58,68.9655,41.3793,0.0,55.1724,tx
68,018906001tx,018906tx,018tx,2017,0.0,0,0.0,0.0,0.0,45,57.7778,71.1111,0.0,28.8889,tx
69,018908001tx,018908tx,018tx,2017,0.0,0,0.0,0.0,0.0,38,76.3158,57.8947,0.0,39.4737,tx
70,019902002tx,019902tx,019tx,2017,0.0,0,0.0,0.0,0.0,359,52.6462,68.5237,16.156,8.9136,tx
72,019909001tx,019909tx,019tx,2017,0.0,0,0.0,0.0,0.0,168,54.7619,89.881,0.0,7.1429,tx
75,020902002tx,020902tx,020tx,2017,0.0,0,0.0,0.0,0.0,62,69.3548,30.6452,16.129,50.0,tx
84,023902001tx,023902tx,023tx,2017,0.0,0,0.0,0.0,0.0,61,57.377,59.0164,1.6393,36.0656,tx
85,025904001tx,025904tx,025tx,2017,0.0,0,0.0,0.0,0.0,64,54.6875,60.9375,1.5625,32.8125,tx
86,025905001tx,025905tx,025tx,2017,0.0,0,0.0,0.0,0.0,104,53.8462,83.6538,0.0,15.3846,tx
87,025906001tx,025906tx,025tx,2017,0.0,0,0.0,0.0,0.0,78,43.5897,92.3077,0.0,3.8462,tx
88,025908001tx,025908tx,025tx,2017,0.0,0,0.0,0.0,0.0,48,50.0,87.5,0.0,12.5,tx
90,026901001tx,026901tx,026tx,2017,0.0,0,0.0,0.0,0.0,560,46.6071,53.2143,10.5357,33.9286,tx
92,030902001tx,030902tx,030tx,2017,0.0,0,0.0,0.0,0.0,445,39.1011,81.3483,2.0225,14.8315,tx
93,030906001tx,030906tx,030tx,2017,0.0,0,0.0,0.0,0.0,123,47.1545,79.6748,0.813,13.8211,tx
95,031901008tx,031901tx,031tx,2017,0.0,0,0.0,0.0,0.0,427,95.7845,2.1077,0.2342,96.9555,tx
97,031903005tx,031903tx,031tx,2017,0.0,0,0.0,0.0,0.0,331,62.2356,8.7613,0.9063,89.1239,tx
98,031903008tx,031903tx,031tx,2017,0.0,0,0.0,0.0,0.0,273,60.0733,6.9597,1.0989,89.3773,tx
105,031916004tx,031916tx,031tx,2017,0.0,0,0.0,0.0,0.0,753,57.7689,4.7809,1.8592,76.8924,tx
106,031916005tx,031916tx,031tx,2017,0.0,0,0.0,0.0,0.0,753,38.5126,7.7025,0.3984,76.2284,tx
107,033901001tx,033901tx,033tx,2017,0.0,0,0.0,0.0,0.0,43,37.2093,83.7209,0.0,16.2791,tx
108,033902001tx,033902tx,033tx,2017,0.0,0,0.0,0.0,0.0,214,16.8224,85.9813,1.4019,9.3458,tx
109,033904001tx,033904tx,033tx,2017,0.0,0,0.0,0.0,0.0,91,38.4615,86.8132,0.0,12.0879,tx
110,034902001tx,034902tx,034tx,2017,0.0,0,0.0,0.0,0.0,42,76.1905,73.8095,14.2857,4.7619,tx
111,034903001tx,034903tx,034tx,2017,0.0,0,0.0,0.0,0.0,362,51.3812,74.8619,12.7072,8.5635,tx
114,034909001tx,034909tx,034tx,2017,0.0,0,0.0,0.0,0.0,85,52.9412,87.0588,1.1765,3.5294,tx
116,035903001tx,035903tx,035tx,2017,0.0,0,0.0,0.0,0.0,72,19.4444,84.7222,2.7778,9.7222,tx
118,036902005tx,036902tx,036tx,2017,0.0,0,0.0,0.0,0.0,47,17.0213,61.7021,12.766,21.2766,tx
124,037909001tx,037909tx,037tx,2017,0.0,0,0.0,0.0,0.0,76,53.9474,76.3158,9.2105,9.2105,tx
126,039904001tx,039904tx,039tx,2017,0.0,0,0.0,0.0,0.0,50,46.0,88.0,0.0,6.0,tx
127,039905001tx,039905tx,039tx,2017,0.0,0,0.0,0.0,0.0,43,58.1395,97.6744,0.0,2.3256,tx
128,040901001tx,040901tx,040tx,2017,0.0,0,0.0,0.0,0.0,101,96.0396,12.8713,0.9901,85.1485,tx
130,041901001tx,041901tx,041tx,2017,0.0,0,0.0,0.0,0.0,99,39.3939,65.6566,0.0,34.3434,tx
132,042903001tx,042903tx,042tx,2017,0.0,0,0.0,0.0,0.0,82,67.0732,68.2927,2.439,29.2683,tx
133,043801001tx,043801tx,043tx,2017,0.0,0,0.0,0.0,0.0,252,9.127,40.0794,10.3175,11.9048,tx
135,043905008tx,043905tx,043tx,2017,0.0,0,0.0,0.0,0.0,2015,14.8883,49.0323,18.1638,18.0645,tx
136,043905010tx,043905tx,043tx,2017,0.0,0,0.0,0.0,0.0,1374,4.6579,59.9709,7.1325,10.917,tx
139,043908001tx,043908tx,043tx,2017,0.0,0,0.0,0.0,0.0,808,12.6238,68.5644,7.302,18.5644,tx
140,043910008tx,043910tx,043tx,2017,0.0,0,0.0,0.0,0.0,460,9.7826,62.8261,4.5652,12.8261,tx
144,046902206tx,046902tx,046tx,2017,0.0,0,0.0,0.0,0.0,225,40.8889,47.5556,4.0,45.3333,tx
145,047901001tx,047901tx,047tx,2017,0.0,0,0.0,0.0,0.0,353,62.6062,44.4759,1.1331,51.8414,tx
147,047903001tx,047903tx,047tx,2017,0.0,0,0.0,0.0,0.0,43,83.7209,39.5349,0.0,58.1395,tx
148,047905001tx,047905tx,047tx,2017,0.0,0,0.0,0.0,0.0,39,66.6667,74.359,0.0,25.641,tx
149,048901001tx,048901tx,048tx,2017,0.0,0,0.0,0.0,0.0,63,63.4921,39.6825,0.0,60.3175,tx
150,048903001tx,048903tx,048tx,2017,0.0,0,0.0,0.0,0.0,78,73.0769,58.9744,0.0,39.7436,tx
151,049902001tx,049902tx,049tx,2017,0.0,0,0.0,0.0,0.0,154,14.2857,90.9091,0.6494,7.1429,tx
154,049907001tx,049907tx,049tx,2017,0.0,0,0.0,0.0,0.0,160,9.375,90.0,0.0,5.0,tx
155,050901001tx,050901tx,050tx,2017,0.0,0,0.0,0.0,0.0,81,48.1481,74.0741,0.0,24.6914,tx
156,050909001tx,050909tx,050tx,2017,0.0,0,0.0,0.0,0.0,86,54.6512,81.3953,0.0,16.2791,tx
159,054903001tx,054903tx,054tx,2017,0.0,0,0.0,0.0,0.0,145,77.931,22.7586,0.6897,75.8621,tx
160,056902001tx,056902tx,056tx,2017,0.0,0,0.0,0.0,0.0,51,47.0588,54.902,1.9608,43.1373,tx
