,schoolcode,districtcode,countycode,year,charter,elapass,schoolmode,virtualper,hybridper,totaltested,lowincome,white,black,hispanic,state
0,001902001,001902tx,001tx,2015,0.0,60.0,0.0,0.0,0,45,28.89,82.2222,2.2222,4.4444,tx
1,001902001,001902tx,001tx,2016,0.0,47.37,0.0,0.0,0,38,26.32,86.8421,0.0,0.0,tx
2,001902001,001902tx,001tx,2017,0.0,41.46,0.0,0.0,0,41,36.59,80.4878,7.3171,7.3171,tx
3,001902001,001902tx,001tx,2018,0.0,59.57,0.0,0.0,0,47,29.79,87.234,2.1277,6.383,tx
4,001902001,001902tx,001tx,2019,0.0,63.04,0.0,0.0,0,46,58.7,78.2609,2.1739,8.6957,tx
5,001902001,001902tx,001tx,2021,0.0,68.29,0.0,0.0,0,41,43.9,82.9268,2.439,12.1951,tx
6,001903001,001903tx,001tx,2015,0.0,55.06,0.0,0.0,0,89,47.19,87.6404,3.3708,4.4944,tx
7,001903001,001903tx,001tx,2016,0.0,68.42,0.0,0.0,0,95,54.74,87.3684,2.1053,9.4737,tx
8,001903001,001903tx,001tx,2017,0.0,51.89,0.0,0.0,0,106,51.89,73.5849,7.5472,10.3774,tx
9,001903001,001903tx,001tx,2018,0.0,48.84,0.0,0.0,0,129,52.71,83.7209,3.1008,7.7519,tx
10,001903001,001903tx,001tx,2019,0.0,59.62,0.0,0.0,0,104,45.19,76.9231,6.7308,9.6154,tx
11,001903001,001903tx,001tx,2021,0.0,71.43,0.0,0.0,0,91,42.86,73.6264,4.3956,16.4835,tx
12,001904001,001904tx,001tx,2015,0.0,61.54,0.0,0.0,0,52,50.0,78.8462,5.7692,13.4615,tx
13,001904001,001904tx,001tx,2016,0.0,50.0,0.0,0.0,0,64,50.0,85.9375,6.25,7.8125,tx
14,001904001,001904tx,001tx,2017,0.0,53.73,0.0,0.0,0,67,53.73,73.1343,7.4627,16.4179,tx
15,001904001,001904tx,001tx,2018,0.0,56.72,0.0,0.0,0,67,52.24,76.1194,8.9552,8.9552,tx
16,001904001,001904tx,001tx,2019,0.0,46.97,0.0,0.0,0,66,51.52,87.8788,6.0606,4.5455,tx
17,001904001,001904tx,001tx,2021,0.0,62.3,0.0,0.0,0,61,47.54,75.4098,13.1148,6.5574,tx
18,001906002,001906tx,001tx,2015,0.0,42.86,0.0,0.0,0,28,35.71,78.5714,10.7143,7.1429,tx
19,001906002,001906tx,001tx,2016,0.0,41.94,0.0,0.0,0,31,48.39,77.4194,9.6774,9.6774,tx
20,001906002,001906tx,001tx,2017,0.0,52.27,0.0,0.0,0,44,47.73,77.2727,6.8182,15.9091,tx
