,schoolcode,year,charter,mathpass,schoolmode,virtualper,hybridper,totaltested,lowincome,white,black,hispanic,asian,state,countycode,districtcode
0,001902001,2015,0.0,57.78,0.0,0.0,0,45,28.89,84.4444,2.2222,2.2222,4.4444,texas,001texas,902001texas
1,001902001,2016,0.0,75.0,0.0,0.0,0,40,25.0,87.5,0.0,0.0,0.0,texas,001texas,902001texas
2,001902001,2017,0.0,58.97,0.0,0.0,0,39,35.9,82.0513,5.1282,7.6923,0.0,texas,001texas,902001texas
3,001902001,2018,0.0,69.77,0.0,0.0,0,43,32.56,86.0465,2.3256,6.9767,0.0,texas,001texas,902001texas
4,001902001,2019,0.0,68.09,0.0,0.0,0,47,59.57,78.7234,2.1277,8.5106,0.0,texas,001texas,902001texas
5,001902001,2021,0.0,65.0,0.0,0.0,0,40,45.0,82.5,2.5,12.5,2.5,texas,001texas,902001texas
6,001903001,2015,0.0,33.8,0.0,0.0,0,71,47.89,90.1408,4.2254,2.8169,0.0,texas,001texas,903001texas
7,001903001,2016,0.0,26.03,0.0,0.0,0,73,54.79,87.6712,2.7397,8.2192,1.3699,texas,001texas,903001texas
8,001903001,2017,0.0,38.37,0.0,0.0,0,86,58.14,74.4186,9.3023,9.3023,0.0,texas,001texas,903001texas
9,001903001,2018,0.0,61.22,0.0,0.0,0,98,53.06,82.6531,3.0612,9.1837,0.0,texas,001texas,903001texas
10,001903001,2019,0.0,74.65,0.0,0.0,0,71,50.7,76.0563,8.4507,11.2676,0.0,texas,001texas,903001texas
11,001903001,2021,0.0,48.61,0.0,0.0,0,72,41.67,75.0,2.7778,16.6667,0.0,texas,001texas,903001texas
12,001903041,2015,0.0,82.61,0.0,0.0,0,23,34.78,86.9565,0.0,13.0435,0.0,texas,001texas,903041texas
13,001903041,2016,0.0,100.0,0.0,0.0,0,18,16.67,72.2222,0.0,16.6667,5.5556,texas,001texas,903041texas
14,001903041,2017,0.0,100.0,0.0,0.0,0,17,29.41,76.4706,5.8824,5.8824,0.0,texas,001texas,903041texas
15,001903041,2018,0.0,88.89,0.0,0.0,0,18,27.78,72.2222,0.0,11.1111,5.5556,texas,001texas,903041texas
16,001903041,2019,0.0,92.86,0.0,0.0,0,14,28.57,57.1429,0.0,28.5714,7.1429,texas,001texas,903041texas
17,001903041,2021,0.0,77.78,0.0,0.0,0,18,22.22,83.3333,0.0,11.1111,0.0,texas,001texas,903041texas
18,001904001,2015,0.0,63.46,0.0,0.0,0,52,48.08,78.8462,3.8462,13.4615,1.9231,texas,001texas,904001texas
19,001904001,2016,0.0,53.85,0.0,0.0,0,65,49.23,83.0769,7.6923,9.2308,0.0,texas,001texas,904001texas
20,001904001,2017,0.0,62.07,0.0,0.0,0,58,51.72,72.4138,5.1724,17.2414,0.0,texas,001texas,904001texas
21,001904001,2018,0.0,67.24,0.0,0.0,0,58,48.28,79.3103,8.6207,6.8966,1.7241,texas,001texas,904001texas
22,001904001,2019,0.0,48.48,0.0,0.0,0,33,84.85,84.8485,9.0909,6.0606,0.0,texas,001texas,904001texas
23,001904001,2021,0.0,28.21,0.0,0.0,0,39,64.1,66.6667,17.9487,7.6923,2.5641,texas,001texas,904001texas
24,001906002,2015,0.0,37.04,0.0,0.0,0,27,29.63,81.4815,11.1111,3.7037,3.7037,texas,001texas,906002texas
25,001906002,2016,0.0,51.85,0.0,0.0,0,27,40.74,81.4815,7.4074,7.4074,0.0,texas,001texas,906002texas
26,001906002,2017,0.0,51.28,0.0,0.0,0,39,43.59,79.4872,5.1282,15.3846,0.0,texas,001texas,906002texas
27,001906002,2018,0.0,28.57,0.0,0.0,0,21,33.33,80.9524,9.5238,9.5238,0.0,texas,001texas,906002texas
28,001906002,2019,0.0,68.97,0.0,0.0,0,29,44.83,79.3103,3.4483,17.2414,0.0,texas,001texas,906002texas
29,001906002,2021,0.0,85.0,0.0,0.0,0,20,35.0,80.0,5.0,15.0,0.0,texas,001texas,906002texas
30,001907001,2015,0.0,46.52,0.0,0.0,0,230,69.13,37.3913,25.6522,35.6522,0.4348,texas,001texas,907001texas
31,001907001,2016,0.0,36.36,0.0,0.0,0,231,73.16,26.8398,29.0043,41.1255,1.2987,texas,001texas,907001texas
32,001907001,2017,0.0,51.07,0.0,0.0,0,280,70.36,29.6429,28.9286,38.5714,1.0714,texas,001texas,907001texas
33,001907001,2018,0.0,51.67,0.0,0.0,0,240,65.42,23.75,29.1667,42.5,1.6667,texas,001texas,907001texas
34,001907001,2019,0.0,65.37,0.0,0.0,0,257,66.93,26.07,25.6809,42.8016,0.3891,texas,001texas,907001texas
35,001907001,2021,0.0,42.91,0.0,0.0,0,261,90.42,26.4368,25.2874,42.1456,0.7663,texas,001texas,907001texas
36,001908002,2015,0.0,39.24,0.0,0.0,0,79,56.96,56.962,18.9873,20.2532,0.0,texas,001texas,908002texas
37,001908002,2016,0.0,31.51,0.0,0.0,0,73,69.86,47.9452,21.9178,24.6575,2.7397,texas,001texas,908002texas
38,001908002,2017,0.0,53.21,0.0,0.0,0,109,30.28,45.8716,26.6055,20.1835,0.0,texas,001texas,908002texas
39,001908002,2018,0.0,52.17,0.0,0.0,0,92,48.91,51.087,22.8261,22.8261,1.087,texas,001texas,908002texas
40,001908002,2019,0.0,44.09,0.0,0.0,0,93,63.44,60.2151,12.9032,20.4301,0.0,texas,001texas,908002texas
41,001908002,2021,0.0,9.76,0.0,0.0,0,82,43.9,36.5854,14.6341,41.4634,0.0,texas,001texas,908002texas
42,001908041,2015,0.0,84.62,0.0,0.0,0,26,80.77,38.4615,23.0769,34.6154,0.0,texas,001texas,908041texas
43,001908041,2016,0.0,89.29,0.0,0.0,0,28,53.57,46.4286,25.0,25.0,0.0,texas,001texas,908041texas
44,001908041,2017,0.0,86.96,0.0,0.0,0,23,39.13,69.5652,8.6957,21.7391,0.0,texas,001texas,908041texas
45,001908041,2018,0.0,96.88,0.0,0.0,0,32,50.0,56.25,15.625,25.0,0.0,texas,001texas,908041texas
46,001908041,2019,0.0,100.0,0.0,0.0,0,36,55.56,52.7778,11.1111,33.3333,2.7778,texas,001texas,908041texas
47,001908041,2021,0.0,100.0,0.0,0.0,0,23,26.09,47.8261,17.3913,17.3913,0.0,texas,001texas,908041texas
48,001909001,2015,0.0,69.57,0.0,0.0,0,23,47.83,91.3043,0.0,4.3478,0.0,texas,001texas,909001texas
49,001909001,2016,0.0,53.85,0.0,0.0,0,26,30.77,96.1538,0.0,3.8462,0.0,texas,001texas,909001texas
50,001909001,2017,0.0,53.12,0.0,0.0,0,32,53.12,87.5,0.0,6.25,3.125,texas,001texas,909001texas
51,001909001,2018,0.0,30.0,0.0,0.0,0,30,46.67,86.6667,3.3333,3.3333,0.0,texas,001texas,909001texas
52,001909001,2019,0.0,35.29,0.0,0.0,0,34,50.0,88.2353,0.0,8.8235,2.9412,texas,001texas,909001texas
53,001909001,2021,0.0,18.52,0.0,0.0,0,27,44.44,81.4815,3.7037,3.7037,0.0,texas,001texas,909001texas
54,002901001,2015,0.0,35.04,0.0,0.0,0,274,20.07,32.8467,2.1898,61.6788,0.7299,texas,002texas,901001texas
55,002901001,2016,0.0,43.37,0.0,0.0,0,279,32.97,29.7491,1.7921,66.6667,0.3584,texas,002texas,901001texas
56,002901001,2017,0.0,49.83,0.0,0.0,0,291,40.55,28.5223,1.0309,68.3849,0.0,texas,002texas,901001texas
57,002901001,2018,0.0,57.14,0.0,0.0,0,322,38.51,27.3292,0.6211,69.8758,0.3106,texas,002texas,901001texas
58,002901001,2019,0.0,69.01,0.0,0.0,0,342,39.18,28.3626,0.5848,67.8363,0.0,texas,002texas,901001texas
59,002901001,2021,0.0,50.5,0.0,0.0,0,299,43.48,28.7625,1.6722,66.2207,0.0,texas,002texas,901001texas
60,003902001,2015,0.0,63.19,0.0,0.0,0,144,55.56,63.8889,6.25,27.0833,0.0,texas,003texas,902001texas
61,003902001,2016,0.0,59.39,0.0,0.0,0,165,53.33,64.2424,6.0606,27.2727,1.2121,texas,003texas,902001texas
62,003902001,2017,0.0,56.1,0.0,0.0,0,164,57.32,62.1951,9.7561,26.8293,0.0,texas,003texas,902001texas
63,003902001,2018,0.0,63.35,0.0,0.0,0,161,54.04,67.0807,8.0745,19.8758,0.6211,texas,003texas,902001texas
64,003902001,2019,0.0,69.73,0.0,0.0,0,185,60.0,62.1622,10.8108,21.6216,0.5405,texas,003texas,902001texas
65,003902001,2021,0.0,58.43,0.0,0.0,0,166,54.22,52.4096,10.241,34.9398,0.0,texas,003texas,902001texas
66,003902041,2015,0.0,100.0,0.0,0.0,0,47,27.66,82.9787,2.1277,12.766,2.1277,texas,003texas,902041texas
67,003902041,2016,0.0,100.0,0.0,0.0,0,49,20.41,85.7143,0.0,12.2449,2.0408,texas,003texas,902041texas
68,003902041,2017,0.0,100.0,0.0,0.0,0,46,13.04,86.9565,0.0,10.8696,2.1739,texas,003texas,902041texas
69,003902041,2018,0.0,97.73,0.0,0.0,0,44,27.27,81.8182,0.0,13.6364,2.2727,texas,003texas,902041texas
70,003902041,2019,0.0,100.0,0.0,0.0,0,52,26.92,63.4615,0.0,32.6923,1.9231,texas,003texas,902041texas
71,003902041,2021,0.0,100.0,0.0,0.0,0,46,19.57,71.7391,0.0,26.087,2.1739,texas,003texas,902041texas
72,003903001,2015,0.0,37.76,0.0,0.0,0,482,65.35,29.0456,26.1411,40.0415,0.6224,texas,003texas,903001texas
73,003903001,2016,0.0,46.17,0.0,0.0,0,483,77.43,24.4306,29.1925,42.6501,0.6211,texas,003texas,903001texas
74,003903001,2017,0.0,49.34,0.0,0.0,0,527,76.66,19.5446,30.74,44.7818,0.759,texas,003texas,903001texas
75,003903001,2018,0.0,52.62,0.0,0.0,0,477,77.78,20.7547,28.0922,47.7987,0.2096,texas,003texas,903001texas
76,003903001,2019,0.0,50.47,0.0,0.0,0,531,78.15,21.2806,30.3202,44.0678,0.7533,texas,003texas,903001texas
77,003903001,2021,0.0,44.12,0.0,0.0,0,476,63.03,17.437,26.2605,53.3613,0.4202,texas,003texas,903001texas
78,003903044,2015,0.0,96.67,0.0,0.0,0,60,36.67,58.3333,5.0,26.6667,8.3333,texas,003texas,903044texas
79,003903044,2016,0.0,96.97,0.0,0.0,0,66,33.33,53.0303,10.6061,27.2727,9.0909,texas,003texas,903044texas
80,003903044,2017,0.0,100.0,0.0,0.0,0,70,34.29,47.1429,14.2857,25.7143,10.0,texas,003texas,903044texas
81,003903044,2018,0.0,98.68,0.0,0.0,0,76,31.58,51.3158,7.8947,30.2632,9.2105,texas,003texas,903044texas
82,003903044,2019,0.0,98.8,0.0,0.0,0,83,36.14,60.241,10.8434,24.0964,4.8193,texas,003texas,903044texas
83,003903044,2021,0.0,89.29,0.0,0.0,0,84,26.19,44.0476,16.6667,35.7143,1.1905,texas,003texas,903044texas
84,003904001,2015,0.0,42.18,0.0,0.0,0,147,44.9,91.1565,0.0,6.8027,0.0,texas,003texas,904001texas
85,003904001,2016,0.0,49.31,0.0,0.0,0,144,46.53,87.5,1.3889,7.6389,0.0,texas,003texas,904001texas
86,003904001,2017,0.0,46.36,0.0,0.0,0,151,52.98,80.1325,2.649,13.245,0.0,texas,003texas,904001texas
87,003904001,2018,0.0,56.56,0.0,0.0,0,122,50.0,85.2459,4.0984,8.1967,0.0,texas,003texas,904001texas
88,003904001,2019,0.0,62.25,0.0,0.0,0,151,49.01,85.4305,1.3245,5.298,0.0,texas,003texas,904001texas
89,003904001,2021,0.0,52.86,0.0,0.0,0,140,50.0,90.0,2.1429,4.2857,0.7143,texas,003texas,904001texas
90,003905001,2015,0.0,38.1,0.0,0.0,0,105,66.67,22.8571,11.4286,63.8095,0.9524,texas,003texas,905001texas
91,003905001,2016,0.0,49.49,0.0,0.0,0,99,71.72,40.404,12.1212,44.4444,0.0,texas,003texas,905001texas
92,003905001,2017,0.0,34.27,0.0,0.0,0,143,70.63,26.5734,16.0839,55.2448,0.0,texas,003texas,905001texas
93,003905001,2018,0.0,60.0,0.0,0.0,0,105,78.1,23.8095,13.3333,59.0476,0.0,texas,003texas,905001texas
94,003905001,2019,0.0,49.18,0.0,0.0,0,122,80.33,25.4098,15.5738,56.5574,0.0,texas,003texas,905001texas
95,003905001,2021,0.0,44.07,0.0,0.0,0,118,56.78,29.661,15.2542,53.3898,0.0,texas,003texas,905001texas
96,003905041,2015,0.0,87.5,0.0,0.0,0,24,37.5,45.8333,0.0,50.0,0.0,texas,003texas,905041texas
97,003905041,2016,0.0,100.0,0.0,0.0,0,21,57.14,42.8571,9.5238,42.8571,0.0,texas,003texas,905041texas
98,003905041,2017,0.0,100.0,0.0,0.0,0,15,40.0,60.0,0.0,40.0,0.0,texas,003texas,905041texas
99,003905041,2018,0.0,93.75,0.0,0.0,0,16,31.25,37.5,12.5,50.0,0.0,texas,003texas,905041texas
100,003905041,2019,0.0,100.0,0.0,0.0,0,23,30.43,65.2174,0.0,34.7826,0.0,texas,003texas,905041texas
101,003905041,2021,0.0,80.77,0.0,0.0,0,26,34.62,30.7692,15.3846,50.0,3.8462,texas,003texas,905041texas
102,003906001,2015,0.0,45.45,0.0,0.0,0,33,57.58,87.8788,3.0303,6.0606,0.0,texas,003texas,906001texas
103,003906001,2016,0.0,21.43,0.0,0.0,0,28,67.86,78.5714,0.0,10.7143,0.0,texas,003texas,906001texas
104,003906001,2017,0.0,20.69,0.0,0.0,0,29,48.28,93.1034,0.0,6.8966,0.0,texas,003texas,906001texas
105,003906001,2018,0.0,24.32,0.0,0.0,0,37,62.16,94.5946,2.7027,0.0,0.0,texas,003texas,906001texas
106,003906001,2019,0.0,52.17,0.0,0.0,0,23,60.87,91.3043,0.0,4.3478,0.0,texas,003texas,906001texas
107,003906001,2021,0.0,66.67,0.0,0.0,0,12,58.33,91.6667,0.0,8.3333,0.0,texas,003texas,906001texas
108,003907001,2015,0.0,31.63,0.0,0.0,0,98,44.9,73.4694,6.1224,20.4082,0.0,texas,003texas,907001texas
